[0.00 - 7.00] P:1646.56 E:0.067491 |  And the United States as England kick off and get this match underway.
[2913.00 - 2920.00] P:1538.58 E:0.085082 |  And then all of a sudden, if not quite got it right or they stepped half a step back as a team, then they've really taken that.
[2920.00 - 2927.00] P:1633.47 E:0.080661 |  And so, like I say, they'll feel good going into the half time break and say, actually, we're in this.
[2927.00 - 2931.00] P:1635.38 E:0.095222 |  Rob Green and John Murray will take you through the second half of this game at the Albaic Stadium.
[2931.00 - 2937.00] P:1599.01 E:0.090926 |  Micah Richards is alongside me as well. Micah, what did you think of England in that first half?
[2937.00 - 2948.00] P:1571.38 E:0.086741 |  I thought they was average, if I've been totally honest, Kels. We give them the big build up. You know, in the first game against Saran, there was exceptional, but today they've been sloppy.
[2948.00 - 2958.00] P:1555.61 E:0.087131 |  In possession, the move in the ball too slow. Stones on McGuire needs to step out into midfield to create that space and draw their strikers towards them.
[2958.00 - 2965.00] P:1628.26 E:0.083024 |  Too many sideways passes, some good combinations from Trippier, Bellinom and Saka in the first 20 minutes.
[2965.00 - 2970.00] P:1644.01 E:0.074894 |  But after that, it's almost like England have come to the game today and just expected to win.
[2970.00 - 2978.00] P:1567.41 E:0.101281 |  The reason why they were so good against Saran because they were on the front foot, high energy, midfield today has been non-existent.
[2978.00 - 2987.00] P:1510.21 E:0.092415 |  Moussa McKenney and Adams are running that midfield from the USA and the USA probably deserve to be ahead of them being honest.
[2987.00 - 2994.00] P:1503.43 E:0.103249 |  We've certainly heard from the supporters during this first half. Juliet Farrington is down pitchside right in the midst of it.
[2994.00 - 3004.00] P:1691.28 E:0.096206 |  Just watching England substitute Trent Alexander-Arnold, Jack Grealish, Calvin Phillips, Marcus Rashford going through various passing and crossing drills during this half-time.
[3004.00 - 3011.00] P:1589.47 E:0.087683 |  I've got to say, there are four American guys right behind me. I gave them thumbs up at half-time to think, trying to gauge what they were thinking.
[3011.00 - 3019.00] P:1577.50 E:0.099722 |  I got the double thumbs up back and a scarf held off from one of the USA fans, one nation, one team.
[3019.00 - 3028.00] P:1677.09 E:0.098206 |  Jordan Pickford at the end of that first half certainly affording Luke Shaw when he had that drive to Saka and then pulled up his shorts in frustration.
[3028.00 - 3036.00] P:1593.35 E:0.091606 |  Pickford with Mason Mount and that strike as well because he has been bellowing at his England teammates throughout that first half,
[3036.00 - 3039.00] P:1660.99 E:0.095829 |  especially when the USA were piling on the pressure and had that period.
[3039.00 - 3048.00] P:1639.55 E:0.089183 |  But I'm sure he's got a few things to say at half-time as the substitutes have now left the pitch as well and they'll be going back into that England dressing room.
[3048.00 - 3052.00] P:1582.18 E:0.103070 |  Jules, thank you very much. There are options for Garry Southgate.
[3052.00 - 3060.00] P:1548.16 E:0.101248 |  I just wonder if that energy level that you talked about, Micah, that isn't quite there, might be a product of having played just a few days ago,
[3060.00 - 3066.00] P:1462.48 E:0.098807 |  if maybe they do need some fresh legs, even though it was relatively straightforward against Iran?
[3066.00 - 3072.00] P:1520.58 E:0.097336 |  Yes, maybe, but after the Iran game, you're coming to this game full of confidence.
[3072.00 - 3084.00] P:1611.20 E:0.087930 |  So I don't think we can use that as an excuse. I think we've come to Bay and fought, we've had a great victory and let's try and just play our way through the game.
[3084.00 - 3090.00] P:1547.70 E:0.086434 |  But the playing is too slow. When they've quickened up the tempo of the game, they've got in.
[3090.00 - 3097.00] P:1691.61 E:0.083698 |  But everything they're doing at the moment is too laboured, too slow, and in that second half, they need to quicken it up, sharpen it up,
[3097.00 - 3105.00] P:1728.29 E:0.080685 |  and maybe introduce the Folden, the Greenlish. Kane's up there and not really being in the game, coming a little bit too deep.
[3105.00 - 3111.00] P:1778.92 E:0.077368 |  Sterling's not really being the explosive Sterling we've seen in the last game.
[3111.00 - 3116.00] P:1763.45 E:0.081417 |  And Mount really, you know, the chance at the end, he just needs to go the other side of the goalkeeper.
[3116.00 - 3119.00] P:1801.48 E:0.071162 |  Everything has just been average, if I'm being honest.
[3119.00 - 3125.00] P:1840.34 E:0.098500 |  As much as it's been that way for England, for the USA, there has been that energy from them.
[3125.00 - 3129.00] P:1715.30 E:0.103110 |  They're a young team and that enthusiasm shows on the pitch.
[3129.00 - 3132.00] P:1527.18 E:0.072796 |  They've almost got a bounce in their step.
[3132.00 - 3138.00] P:1637.90 E:0.083254 |  Exactly that. And they've got players who are playing in Europe in some of the biggest leagues in the world for a reason,
[3138.00 - 3142.00] P:1846.47 E:0.078119 |  because they deserve to be playing at this level.
[3142.00 - 3149.00] P:1786.42 E:0.082578 |  And it's like they've come to approach this game today like, OK, we may be the underdogs, but we're going to show everyone what we can do.
[3149.00 - 3154.00] P:1765.05 E:0.077227 |  I think the only thing they are missing, Paul right up front, he's not a clinical striker.
[3154.00 - 3160.00] P:1778.94 E:0.081312 |  If they had a Kane on their side, they'd probably be two-nil up at this moment in time.
[3160.00 - 3167.00] P:1775.95 E:0.078584 |  No real composure for them, but the energy in midfield, it's been a delight to watch, especially that Moosa.
[3167.00 - 3171.00] P:1802.50 E:0.083291 |  He's been running it. He's the general in there. And England need to sharpen up in the second half.
[3171.00 - 3177.00] P:1742.79 E:0.098069 |  USA making life really difficult for England at the Albaic Stadium, but it is still goal-less at halftime.
[3177.00 - 3185.00] P:1657.18 E:0.103458 |  There is one other line to bring you as well. You will remember this decision made by the European teams not to wear the one-love armband.
[3185.00 - 3191.00] P:1439.13 E:0.091956 |  That is that symbol of diversity and inclusion for their opening matches because of the fear of sporting sanctions.
[3191.00 - 3196.00] P:1556.33 E:0.101592 |  We then saw the German players with their hands over their mouths for their team photo.
[3196.00 - 3203.00] P:1635.77 E:0.093230 |  There's been a German politician and a Belgian politician in the stands at World Cup matches wearing the one-love armband.
[3203.00 - 3208.00] P:1726.14 E:0.094029 |  So they've been making their feelings very clear, as have several players in their press conferences.
[3208.00 - 3214.00] P:1726.93 E:0.100357 |  Well, at Wembley this evening, the arch is illuminated in the colours of a rainbow.
[3214.00 - 3222.00] P:1747.31 E:0.093410 |  Tarek Panja, the journalist on social media, has made the point that thousands of miles away from Qatar, away from the referee's book,
[3222.00 - 3228.00] P:1827.95 E:0.093088 |  England's Football Federation takes its brave stance before tonight's game with the US.
[3228.00 - 3233.00] P:1740.98 E:0.104077 |  So an element of irony in Tarek Panja's statement there on social media,
[3233.00 - 3240.00] P:1823.06 E:0.091158 |  but the FA trying to make their point by illuminating the arch at Wembley in the colours of the rainbow.
[3240.00 - 3245.00] P:1617.02 E:0.110072 |  The game itself will get underway very shortly with the score at England nil, USA nil,
[3245.00 - 3251.00] P:1721.59 E:0.085617 |  and will be reflecting on a defeat for Wales earlier in the day after the BBC News.
[3259.00 - 3265.00] P:1845.11 E:0.096703 |  With the headlines on Richard Foster, Scotland's biggest teaching union is striking for another 16 days in January and February
[3265.00 - 3270.00] P:1891.18 E:0.088302 |  in a dispute about pay. Members of the EIS will walk out in two local authorities each day,
[3270.00 - 3273.00] P:1841.31 E:0.060834 |  meaning every pupil will miss one day of lessons.
[3273.00 - 3277.00] P:1873.97 E:0.091671 |  The Foreign Secretary James Cleverly has announced new aid for Ukraine on a visit to Kyiv.
[3277.00 - 3281.00] P:1927.94 E:0.081833 |  He's accused Russia of brutal attacks on civilians and on infrastructure.
[3281.00 - 3284.00] P:1665.97 E:0.073500 |  Missile strikes have caused widespread power blackouts there.
[3284.00 - 3289.00] P:1964.06 E:0.087655 |  President Putin has told mothers of Russian soldiers fighting against Ukraine that he shares their pain.
[3289.00 - 3293.00] P:1808.70 E:0.082329 |  He's been taking part in a meeting with several parents shown on state TV.
[3293.00 - 3297.00] P:1639.81 E:0.064738 |  The Kremlin hasn't commented on claims that the mothers were carefully chosen.
[3297.00 - 3302.00] P:1784.28 E:0.087663 |  A potentially hazardous substance has been found on a body discovered in a suburban street in Greater Manchester.
[3302.00 - 3305.00] P:1805.78 E:0.078746 |  It was discovered near Wigan at around 7 o'clock last night.
[3305.00 - 3307.00] P:1583.00 E:0.076283 |  Police are trying to work out who it is.
[3307.00 - 3313.00] P:1817.46 E:0.080867 |  And black Friday sales have rebounded despite predictions that the higher cost of living would put people off shopping.
[3313.00 - 3316.00] P:1778.15 E:0.075298 |  Barkley Card says transactions are up 3% on last year.
[3316.00 - 3320.00] P:1760.56 E:0.078230 |  Products to help people reduce their energy bills have been very popular.
[3343.00 - 3349.00] P:993.92 E:0.123814 |  Live from Wembley, Saturday night from 10.15 on 5 Live and BBC Sounds.
[3349.00 - 3351.00] P:1197.85 E:0.117946 |  BBC 5 Live.
[3351.00 - 3353.00] P:1239.84 E:0.125491 |  The FIFA World Cup.
[3353.00 - 3357.00] P:1190.50 E:0.116982 |  Qatar 2022 with Kelly Capes.
[3357.00 - 3361.00] P:1554.89 E:0.114237 |  We're at the Albaic Stadium this evening for England against the USA in Group B.
[3361.00 - 3365.00] P:1501.37 E:0.097921 |  There's an opportunity for England to qualify for the knockout stages of the competition,
[3365.00 - 3369.00] P:1682.16 E:0.104262 |  but they're currently drawing nil-nil against USA,
[3369.00 - 3372.00] P:1478.37 E:0.103512 |  who are making life very difficult for England this evening.
[3372.00 - 3376.00] P:1651.86 E:0.098035 |  We'll be back here for the coverage of the second half very shortly.
[3376.00 - 3381.00] P:1549.84 E:0.106712 |  Earlier though, Wales were beaten 2-0 by Iran, so Rob Page has signed a bottom of Group A.
[3381.00 - 3384.00] P:1764.72 E:0.105140 |  They need a win against England to progress. That game's on Tuesday,
[3384.00 - 3387.00] P:1719.00 E:0.097725 |  and they also need other results to go their way.
[3387.00 - 3390.00] P:1658.57 E:0.099131 |  Rick Edwards has been speaking to Dan James.
[3390.00 - 3393.00] P:1457.33 E:0.082910 |  As the game went on, I thought we grew into the game a lot more.
[3393.00 - 3395.00] P:1096.60 E:0.083396 |  Obviously, we went down to 10 men quite late.
[3395.00 - 3398.00] P:1462.55 E:0.091354 |  I thought we would control the ball a bit more.
[3398.00 - 3400.00] P:1625.93 E:0.085758 |  They had a lot of counterattacks, which we defended well,
[3400.00 - 3403.00] P:1521.33 E:0.090485 |  but I thought we would control a bit more, and obviously the red car changes the game.
[3403.00 - 3405.00] P:1259.76 E:0.077995 |  They were threatening us with their counterattack.
[3405.00 - 3408.00] P:1491.23 E:0.077764 |  I think the first goal they take so well is to come out to him,
[3408.00 - 3410.00] P:1422.28 E:0.086153 |  and it's an incredible finish.
[3410.00 - 3416.00] P:1527.46 E:0.077810 |  We push off that equaliser, and it's 4-2, and the guy has a great finish as well.
[3416.00 - 3420.00] P:1402.08 E:0.087979 |  So, yeah, we're super disappointed, but we've got to dust ourselves off now.
[3420.00 - 3423.00] P:1594.67 E:0.069939 |  We've got another big game coming up tomorrow.
[3423.00 - 3426.00] P:1207.84 E:0.080291 |  We've got to hold our heads high and just go into that last game with confidence.
[3426.00 - 3429.00] P:1361.87 E:0.076881 |  What was said in the circle on the pitch after the game?
[3429.00 - 3432.00] P:1320.55 E:0.068005 |  Guys, obviously, he's a captain, he's a leader.
[3432.00 - 3434.00] P:1199.07 E:0.079230 |  He always believes in us, he believes in himself.
[3434.00 - 3438.00] P:1534.24 E:0.079426 |  For us, it's just about going into that last game.
[3438.00 - 3441.00] P:1272.83 E:0.089170 |  We've thought one more game, we can't be disappointed in the thing we're out.
[3441.00 - 3443.00] P:899.35 E:0.082765 |  You never know what happens in group football.
[3443.00 - 3446.00] P:1304.15 E:0.087978 |  We know England are a great team, and we've obviously got to go into that with no fear.
[3446.00 - 3449.00] P:1422.52 E:0.093649 |  We'll watch the game tonight, we'll analyse the game from today
[3449.00 - 3451.00] P:1376.21 E:0.083015 |  and see what we could have done a lot better.
[3451.00 - 3454.00] P:1258.16 E:0.083185 |  We'll go into that last game, and we've got nothing to lose.
[3454.00 - 3458.00] P:1540.45 E:0.078663 |  There is that chance that England have already qualified by the time you come to play them on Tuesday.
[3458.00 - 3460.00] P:1604.10 E:0.084608 |  That might play into your hands.
[3460.00 - 3463.00] P:1123.26 E:0.063385 |  Yeah, you can say that, but even if there were to-rest players,
[3463.00 - 3469.00] P:1375.21 E:0.080134 |  they've got two elevens, great players, fresh legs, they want to win every game they can.
[3469.00 - 3473.00] P:1403.29 E:0.076180 |  We've just got to know that going into it.
[3473.00 - 3477.00] P:1717.84 E:0.096962 |  That was earlier in Group B with Wales Defeat by Iran,
[3477.00 - 3480.00] P:1702.45 E:0.100471 |  and it leaves the group looking like this as things standing.
[3480.00 - 3483.00] P:1562.11 E:0.099786 |  You'll of course draw nil-nil against USA at the moment.
[3483.00 - 3486.00] P:1686.35 E:0.096304 |  That would leave England top of the group on four points.
[3486.00 - 3489.00] P:1649.67 E:0.095067 |  Iran on three points with their victory earlier today.
[3489.00 - 3492.00] P:1543.24 E:0.086702 |  We've put the USA on two points, the draw with Wales,
[3492.00 - 3494.00] P:1728.84 E:0.108358 |  and then the draw potentially this evening,
[3494.00 - 3497.00] P:1683.69 E:0.092356 |  and Wales bottom of the group with just one point.
[3497.00 - 3503.00] P:1701.53 E:0.093436 |  That game between England and Wales on Tuesday could be absolutely crucial for Wales,
[3503.00 - 3506.00] P:1673.31 E:0.092237 |  and it's possible that if England win this evening,
[3506.00 - 3510.00] P:1762.06 E:0.084534 |  they potentially could qualify for the knockout stages.
[3510.00 - 3515.00] P:1717.66 E:0.090233 |  Micah, in terms of the way that that group is panning out,
[3515.00 - 3519.00] P:1631.83 E:0.106998 |  if England don't sharpen up in the second half of this game,
[3519.00 - 3523.00] P:1690.52 E:0.085362 |  they might need something from the game against Wales as well on Tuesday.
[3523.00 - 3526.00] P:1721.34 E:0.085621 |  Exactly that, and that's why I'm thinking,
[3526.00 - 3530.00] P:1818.13 E:0.094736 |  approach this game, you win today, you're through the group,
[3530.00 - 3532.00] P:1597.54 E:0.098906 |  you can introduce players in the third game.
[3532.00 - 3538.00] P:1737.27 E:0.089647 |  I don't know whether, you know, Yansi, are they a bit tired, maybe are a bit tired,
[3538.00 - 3540.00] P:1846.43 E:0.086750 |  but I just thought the confidence from the first game,
[3540.00 - 3543.00] P:1696.00 E:0.084602 |  the come out of this game, out the blocks and the haven,
[3543.00 - 3546.00] P:1730.51 E:0.079714 |  which is a bit frustrating.
[3546.00 - 3548.00] P:1579.73 E:0.094223 |  In the second half, they're going to have to do that,
[3548.00 - 3550.00] P:1868.70 E:0.075018 |  maybe look at changing the system,
[3550.00 - 3552.00] P:1708.58 E:0.084441 |  maybe get another midfield on there,
[3552.00 - 3555.00] P:1685.05 E:0.087586 |  or some bit more pace up front,
[3555.00 - 3559.00] P:1667.95 E:0.083838 |  because at the moment, it's just a bit too laboured,
[3559.00 - 3562.00] P:1692.46 E:0.089379 |  and you don't want to end up drawing or potentially losing this game,
[3562.00 - 3564.00] P:1709.13 E:0.084806 |  going into that Wales game thinking,
[3564.00 - 3567.00] P:1729.61 E:0.084039 |  you've got to get something out of it, and that is the concern.
[3567.00 - 3570.00] P:1783.50 E:0.100744 |  England and USA opponents on the pitch this evening,
[3570.00 - 3574.00] P:1688.10 E:0.109383 |  but the announcer here at the stadium has found something that unites them
[3574.00 - 3577.00] P:1848.68 E:0.105024 |  in the form of Neil Diamond, as they play sweet Caroline,
[3577.00 - 3580.00] P:1860.51 E:0.110660 |  and the England fans and USA fans joining in with this one.
[3580.00 - 3582.00] P:1641.31 E:0.103864 |  I don't know if anybody's sick of it yet,
[3582.00 - 3585.00] P:1685.58 E:0.104464 |  but it's still going strong inside this stadium,
[3585.00 - 3590.00] P:1693.66 E:0.107683 |  but a big 45 minutes coming up for England in terms of their World Cup co-ops,
[3590.00 - 3594.00] P:1720.12 E:0.097730 |  as both of the summarisers here inside the stadium,
[3594.00 - 3597.00] P:1767.21 E:0.094102 |  Michael Richards and Rob Green, decide to get stuck into the Haribos.
[3597.00 - 3599.00] P:1512.28 E:0.106881 |  Other suites, of course, are available,
[3599.00 - 3602.00] P:1708.73 E:0.097377 |  which of you two is best place to start speaking?
[3602.00 - 3604.00] P:1832.05 E:0.105236 |  Absolutely, always ready, mate.
[3605.00 - 3607.00] P:1735.62 E:0.116944 |  Big 45 for England coming up.
[3607.00 - 3610.00] P:1806.71 E:0.106196 |  Yeah, just saying, we've been quite negative about them,
[3610.00 - 3612.00] P:1531.99 E:0.106780 |  and the performance hasn't been where it wants it to be,
[3612.00 - 3616.00] P:1854.44 E:0.080158 |  but don't point it out at the start of the game.
[3616.00 - 3619.00] P:1877.06 E:0.073046 |  They were looking for a clean sheet. They've got a clean sheet so far.
[3619.00 - 3621.00] P:1835.79 E:0.077613 |  It's not been the best. You get through a tournament,
[3621.00 - 3623.00] P:1752.33 E:0.095642 |  and you improve through a tournament.
[3623.00 - 3626.00] P:1871.51 E:0.089124 |  If this was the first game, and we said,
[3626.00 - 3629.00] P:1772.60 E:0.070335 |  I'll tell you what, they've been a bit off it,
[3629.00 - 3632.00] P:1854.87 E:0.086272 |  and haven't got it quite right, you'd say, well, that's why.
[3632.00 - 3635.00] P:1790.16 E:0.081440 |  We've got a bit of a helping hand in the first game.
[3635.00 - 3636.00] P:1881.51 E:0.073348 |  This has been a test.
[3636.00 - 3639.00] P:1893.51 E:0.082504 |  It's been a challenge in different ways from the first game,
[3639.00 - 3641.00] P:1891.74 E:0.079589 |  but we've still got the clean sheet.
[3641.00 - 3644.00] P:1817.47 E:0.079827 |  That's what we wanted. It's not been perfect,
[3644.00 - 3649.00] P:1811.69 E:0.073865 |  but we've still got a great platform here to go and win the game if we improve.
[3650.00 - 3653.00] P:1909.98 E:0.109353 |  US are out on the pitch, England yet to make an appearance,
[3653.00 - 3657.00] P:1460.52 E:0.101776 |  so just in time to bring you up to date with what has happened already today.
[3657.00 - 3659.00] P:1617.31 E:0.084673 |  The host, Katar, won't make it past the group stages.
[3659.00 - 3661.00] P:1631.00 E:0.096457 |  There are three won defeats for them by Sanne Gull.
[3661.00 - 3664.00] P:1663.84 E:0.090530 |  It's left them with no points in group A after two games.
[3664.00 - 3666.00] P:1650.55 E:0.104585 |  Netherlands and Ecuador are joint top of the group.
[3666.00 - 3670.00] P:1490.34 E:0.100532 |  They drew one all, and Neymar and Danilo will miss the rest of the group stages
[3670.00 - 3672.00] P:1428.73 E:0.090911 |  for Brazil due to ankle injuries.
[3672.00 - 3675.00] P:1641.32 E:0.104394 |  Four more commentaries to come on Five Live Tomorrow.
[3675.00 - 3677.00] P:1355.08 E:0.106781 |  We've got all of them for you. You'll know that by now.
[3677.00 - 3679.00] P:1602.92 E:0.094805 |  10 o'clock is Tunisia against Australia,
[3679.00 - 3682.00] P:1609.12 E:0.099097 |  one o'clock for Poland against Saudi Arabia,
[3682.00 - 3684.00] P:1545.55 E:0.081646 |  four o'clock for France against Denmark,
[3684.00 - 3686.00] P:1739.90 E:0.089949 |  and then it's seven o'clock.
[3686.00 - 3690.00] P:1684.67 E:0.096813 |  Just from what we've seen by being out on the streets of Doha,
[3690.00 - 3694.00] P:1590.57 E:0.098680 |  the two best represented fan bases in the competition,
[3694.00 - 3697.00] P:1782.88 E:0.103705 |  Argentina and Mexico go head to head,
[3697.00 - 3700.00] P:1709.57 E:0.111498 |  and we'll have live commentary of that one for you as well.
[3700.00 - 3703.00] P:1759.77 E:0.117651 |  But they're getting set to kick off in the second half here at the Elbate Stadium.
[3703.00 - 3706.00] P:1793.98 E:0.107456 |  It's England nil, USA nil, taking you through it.
[3706.00 - 3708.00] P:1775.53 E:0.107385 |  Rob Green and John Murray.
[3708.00 - 3711.00] P:1782.17 E:0.088003 |  Yes, thank you, Kelly. Alan Shearer is going to be with me
[3711.00 - 3714.00] P:1734.50 E:0.080410 |  for the France-Denmark match, actually.
[3714.00 - 3718.00] P:1655.99 E:0.097420 |  So you'll be able to hear Alan as the summariser on Five Live Tomorrow afternoon.
[3718.00 - 3722.00] P:1650.35 E:0.079712 |  The teams are out, and there are no changes.
[3722.00 - 3724.00] P:1616.81 E:0.082926 |  So the teams, as they started the match,
[3724.00 - 3728.00] P:1684.83 E:0.078303 |  England with Pickford, Trivia Stones, McGuire and Shaw,
[3728.00 - 3732.00] P:1630.13 E:0.064714 |  Rice, Bellingham and Mount, Saka, Sterling and Kane,
[3732.00 - 3735.00] P:1455.90 E:0.101368 |  and the United States as the referee blows the whistle
[3735.00 - 3737.00] P:1475.24 E:0.098883 |  and the Americans get the second half underway,
[3737.00 - 3740.00] P:1473.84 E:0.086683 |  all in blue with the white numbers against England,
[3740.00 - 3743.00] P:1524.11 E:0.101016 |  who are in the almost all-white kit tonight with the blue flashes on the shoulders.
[3743.00 - 3747.00] P:1371.97 E:0.097422 |  USA with Turner and Gull, Dest, Zimmerman, Reem and Robinson at the back,
[3747.00 - 3750.00] P:1431.89 E:0.091920 |  McKenney-Adams and Moosa in midfield,
[3750.00 - 3753.00] P:1489.63 E:0.088663 |  and then Weyer and Pulisic either side of Hadji Wright.
[3753.00 - 3756.00] P:1380.14 E:0.100339 |  That was the only change the Americans made for Ehrhalter,
[3756.00 - 3759.00] P:1452.19 E:0.103442 |  whereas England were unchanged.
[3759.00 - 3762.00] P:1424.83 E:0.082416 |  So, England.
[3762.00 - 3766.00] P:1500.21 E:0.097840 |  On the back foot here is the United States attack on the left-hand side.
[3766.00 - 3769.00] P:1462.54 E:0.090682 |  Robinson turns and plays it back to the halfway line.
[3769.00 - 3772.00] P:1400.58 E:0.098410 |  Jude Bellingham was left on the ground there with a challenge on the halfway line.
[3772.00 - 3775.00] P:1424.53 E:0.098622 |  Moosa plays it to the left-hand side to Robinson.
[3775.00 - 3780.00] P:1367.23 E:0.098255 |  Robinson into the box, headed up and back out to the far side like Declan Rice for a throw.
[3780.00 - 3783.00] P:1467.38 E:0.106234 |  England nil, United States nil.
[3783.00 - 3784.00] P:1287.12 E:0.111562 |  Rob Green.
[3784.00 - 3786.00] P:1472.89 E:0.094758 |  Yeah, Jude Bellingham having a chat with the referee there,
[3786.00 - 3789.00] P:1470.60 E:0.108648 |  and Wright is so clean down in the middle of the pitch,
[3789.00 - 3794.00] P:1198.57 E:0.103520 |  in possession, and all of a sudden, the United States broke through
[3794.00 - 3797.00] P:1352.05 E:0.089223 |  and goop possession for them in a good area.
[3797.00 - 3801.00] P:1313.94 E:0.091275 |  We're looking for England just to have a change of tempo,
[3801.00 - 3807.00] P:1394.14 E:0.086258 |  a change of atmosphere, a change of, really, a spark in this first, in the second half.
[3807.00 - 3809.00] P:1503.37 E:0.098112 |  The United States take the throw, and Robinson gets it back
[3809.00 - 3813.00] P:1429.24 E:0.099939 |  and plays it out of playoff trivia for another throw there near the corner flag
[3813.00 - 3818.00] P:1381.51 E:0.081793 |  in this immense stadium, super ground for football.
[3818.00 - 3820.00] P:1652.10 E:0.098442 |  Almost 70,000 capacity.
[3820.00 - 3825.00] P:1520.37 E:0.084910 |  Ball on the left after the United States take the throw.
[3825.00 - 3827.00] P:1149.11 E:0.086535 |  Goes back to the halfway line.
[3827.00 - 3832.00] P:1322.56 E:0.090749 |  Tim Reem, a full-on back across to his fellow central defender, Zimala,
[3832.00 - 3835.00] P:1642.58 E:0.113073 |  who's pasted in completely the opposite direction to Turner,
[3835.00 - 3838.00] P:1487.56 E:0.101509 |  who was running to his right across the penalty area,
[3838.00 - 3841.00] P:1345.76 E:0.096805 |  and the pass was put ten yards to his left.
[3841.00 - 3844.00] P:1302.88 E:0.095045 |  It was actually on target, but was played with no great pace,
[3844.00 - 3846.00] P:1362.34 E:0.096996 |  so the goalkeeper was at the change direction.
[3846.00 - 3847.00] P:1299.21 E:0.092016 |  Slap the brakes on Rob.
[3847.00 - 3852.00] P:1402.69 E:0.098259 |  Yeah, as a goalkeeper, you get told to change the angle and move away from your goal.
[3852.00 - 3855.00] P:1223.88 E:0.099035 |  Always leaves a question in your back of mind to say,
[3855.00 - 3858.00] P:1145.11 E:0.088566 |  what if the centre half doesn't look?
[3858.00 - 3862.00] P:1273.87 E:0.096512 |  He hits it like that past that Eric Dyer hit the other week.
[3862.00 - 3864.00] P:1117.03 E:0.087739 |  It would have been in the back of the net.
[3864.00 - 3867.00] P:1226.86 E:0.096282 |  Anyway, 0-0, England 0, United States 0,
[3867.00 - 3869.00] P:1246.95 E:0.105770 |  not the subject of sweets at halftime.
[3869.00 - 3875.00] P:1428.69 E:0.092484 |  One of our Qatari hosts in full traditional dress just walked up to producer Gary
[3875.00 - 3879.00] P:1434.44 E:0.090958 |  and said, could he have one of our sweets, one of our Opel fruits?
[3879.00 - 3881.00] P:1395.91 E:0.094587 |  So it's not been a great day for Qatari,
[3881.00 - 3884.00] P:1545.50 E:0.091943 |  so we let him choose whichever colour he wanted.
[3884.00 - 3887.00] P:1541.72 E:0.090251 |  He was eyes lit up when he got one.
[3887.00 - 3891.00] P:1348.62 E:0.085502 |  England 0, USA 0.
[3891.00 - 3894.00] P:1485.20 E:0.077298 |  So Luke Shawl with a throw for England.
[3894.00 - 3898.00] P:1484.31 E:0.085884 |  Rice comes short, but Kenny goes with him,
[3898.00 - 3902.00] P:1385.14 E:0.090036 |  so delay and delay, and then the throw is taken forward under the chest of Sterling.
[3902.00 - 3905.00] P:1457.54 E:0.100962 |  That gives possession back for England.
[3905.00 - 3907.00] P:1478.02 E:0.098934 |  They're attacking from right to left towards the end
[3907.00 - 3911.00] P:1478.65 E:0.096896 |  where most of the England support are gathered down in the lower tier to our left.
[3911.00 - 3915.00] P:1668.43 E:0.096164 |  And now Paul on the right-hand side with Saka who tried to angle it back,
[3915.00 - 3918.00] P:1616.56 E:0.105900 |  but didn't get the pass quite right, and the Americans could be away on the counterattack here.
[3918.00 - 3923.00] P:1556.70 E:0.097858 |  Trippie is out of position, and now it's Puller-Sick who takes it on over the halfway line
[3923.00 - 3927.00] P:1704.28 E:0.106018 |  and plays it forward to right, and hadgie right into the penalty area on his right foot.
[3927.00 - 3930.00] P:1852.50 E:0.097954 |  This is dangerous, but it's blocked, it's blocked,
[3930.00 - 3936.00] P:1673.97 E:0.106092 |  and it comes out though to the shot from McKenney who I think he slipped as he hit that he did, you know,
[3936.00 - 3943.00] P:1517.43 E:0.097410 |  and his one-foot-gave way, and that meant he shuffled it right over the top of the crossbar by probably eight or ten yards.
[3943.00 - 3946.00] P:1563.91 E:0.083521 |  Well that's the jeopardy, that's the chaos that we're talking about.
[3946.00 - 3952.00] P:1352.96 E:0.088086 |  That's what England get it wrong at one end, and all of a sudden, the length of the pitch, the game changes.
[3952.00 - 3958.00] P:1377.57 E:0.082603 |  It's good defending now, showing him inside, showing him inside, mate the block.
[3958.00 - 3963.00] P:1400.23 E:0.095872 |  McKenney has had two shots in this game, and I don't want to put the Mokkas on him,
[3963.00 - 3966.00] P:1454.33 E:0.086809 |  but I'm not putting it down as one of his strong points.
[3966.00 - 3971.00] P:1339.03 E:0.089917 |  England nil, United States nil. He's actually scored nine goals,
[3971.00 - 3977.00] P:1242.86 E:0.096401 |  and now 39 appearances for the USA, which is not a bad goal-scoring record from midfield.
[3977.00 - 3982.00] P:1345.29 E:0.087976 |  Here is Bellingham, plays it towards Sterling.
[3982.00 - 3987.00] P:1565.47 E:0.090579 |  The question will be how long will it be before Garis Southgate decides to make some changes,
[3987.00 - 3990.00] P:1582.12 E:0.087854 |  and we know the strength there is there on the substitute bench.
[3990.00 - 3992.00] P:1514.51 E:0.100794 |  Here's Saka now on the right-hand side for England.
[3992.00 - 4000.00] P:1599.74 E:0.082152 |  Saka back to Trippier behind him, and then Trippier, ball stationary at his feet, uses Sterling, who's found a position.
[4000.00 - 4005.00] P:1640.50 E:0.101614 |  Now into the penalty area, plays it on, but Robinson was able to come back across and get there first,
[4005.00 - 4010.00] P:1430.68 E:0.091279 |  and right footed, clears it to the halfway line, so England will start again.
[4010.00 - 4014.00] P:1342.30 E:0.103251 |  It's good covering by Robinson, he was out wide with Saka, saw the danger.
