[0.00 - 11.00] P:1617.17 E:0.100990 |  For what has been described as a period of silence in memory of Her Majesty Queen Elizabeth II.
[3234.00 - 3238.00] P:1654.52 E:0.080369 |  A couple of minutes gone in the second half, Blackburn on top leading Watford-1-Neal.
[3238.00 - 3244.00] P:1817.85 E:0.100435 |  Most of the game 7-45 this evening, elsewhere in the championship, Huddersfield a 1-Neal down at home to Wigan,
[3244.00 - 3254.00] P:1976.20 E:0.090279 |  Hull are trailing 2-Neal at home to Stoke, it's Middlesbrough-Neal, Cardiff 3 and it's half time in the only 8 o'clock kickoff for the evening.
[3254.00 - 3260.00] P:1855.71 E:0.091627 |  Preston 1-Burnley 1-Interleague 1-Barnsley 1-Neal up at home to Port Vale.
[3260.00 - 3269.00] P:1894.32 E:0.090231 |  Goal is between Burton and Portsmouth, it's Charlton 1-Forest Green 1-Chelton-1-Neal, Cambridge 1-Ipswich 1-Bristal Rovers-Neal,
[3269.00 - 3275.00] P:1879.10 E:0.093024 |  Lincoln 1-Darby Neal, MK Donnes Neal, Bolton 1-Morcomon Sheffield-Weddon's Day-Golus,
[3275.00 - 3284.00] P:1855.75 E:0.086856 |  Peterborough 1-Neal down at home to Fleetwood, Plymouth Neal, Oxford Neal, Shrewsbury 2-Exeter 2 and at half time it's Wickham 1-Aquington Neal.
[3284.00 - 3294.00] P:1853.01 E:0.093859 |  In league 2, Wimbledon 1-Neal down at home to Northampton, Barrow leading Doncaster by Golton Neal, Crawley 2-Stockport 1-Grimsby 1-Jillingham 1,
[3294.00 - 3303.00] P:1803.97 E:0.094400 |  Harrogate a 0-Neal against Salford, it's Hartlepool 1-Crew Neal, Mansfield Neal-Carlal Neal, Rochdale Neal, Leighton-Orient 1,
[3303.00 - 3310.00] P:1918.46 E:0.092997 |  Covenage 1-Newport Neal, Swindon 2-Sutton 2, Tranmay have just equalised against Bradford, it's one all in that game now,
[3310.00 - 3321.00] P:1868.80 E:0.089577 |  Walsall Neal, Colchester 1 and in the National League, Ultrington 1-Neal up against Scunthorpe, Barnett are trailing by a Golton Neal at home to Dawking,
[3321.00 - 3327.00] P:1957.94 E:0.094128 |  Boreham Wood Neal, Maidenhead Neal, Chesterfield down to 10 men and the trail south end by 2 goals to 1,
[3327.00 - 3336.00] P:1886.47 E:0.093133 |  Eastley Neal, Yoville 1, Golus between Halifax and Gateshead and Maidstone and Wields, there are no goals either between Knox County and Oldershot,
[3336.00 - 3345.00] P:1857.80 E:0.082243 |  it's Torquay 1-Sully Hall Mores 2, Woking 2-Oldham Neal, Wrexham 2-Dagonham and Redbridge Neal and York Neal, Bromley 1.
[3345.00 - 3355.00] P:1862.76 E:0.093403 |  We'll keep you up to date with everything that's happening across the EFL and the National League, it's all over as well in the Women's T20, Emily Windsor has the result.
[3355.00 - 3367.00] P:1849.44 E:0.081829 |  Yep, unfortunately India have beaten England by 8 wickets, earlier England posted 142 for 6 from their 20 overs including the first international 50 from 17 year old Freyja Kemp.
[3367.00 - 3373.00] P:1779.97 E:0.086740 |  In reply, India dominated with Smetty Mandana 79 or 53 balls to win by 8 wickets.
[3373.00 - 3381.00] P:1784.37 E:0.083762 |  The three match series is now level 1-1 with the series decider on Thursday at Bristol at 6.30pm and it's set to be about her.
[3381.00 - 3387.00] P:1920.85 E:0.097600 |  Emily, thank you very much for that, we will continue with our coverage of the Champions League this evening.
[3387.00 - 3396.00] P:1721.84 E:0.086786 |  We'll be back at Anfield for the second half of Liverpool against Ajax, it's one all at halftime, second half coming up after the BBC News with Jill McKenzie.
[3398.00 - 3406.00] P:1481.56 E:0.096754 |  Thank you, good evening. The Queen's Coffin has arrived at Buckingham Palace where the royal family gathered to receive it.
[3406.00 - 3412.00] P:1506.82 E:0.092325 |  Princess Anne accompanied her mother from Edinburgh to London and said it had been an honour and a privilege to do so.
[3412.00 - 3419.00] P:1612.88 E:0.092239 |  The coffin will stay at the palace overnight before being moved to Westminster Hall tomorrow afternoon where it will lie in state for four days.
[3419.00 - 3426.00] P:1586.82 E:0.078533 |  More than a million people are expected in London over the next week, the London Transport Commissioner is Andy Bieford.
[3426.00 - 3438.00] P:1455.81 E:0.076835 |  This is the biggest challenge that TfL has ever faced, obviously we had the Olympics in 2012 which was itself a huge occasion but there we knew exactly what was happening, when it was happening and how many people were attending.
[3438.00 - 3441.00] P:1590.20 E:0.060989 |  This is, there are so many variables.
[3441.00 - 3448.00] P:1724.84 E:0.090852 |  Earlier King Charles III said he'd follow the shining example of his late mother on his first visit to Northern Ireland as monarch.
[3448.00 - 3458.00] P:1496.19 E:0.087007 |  He and the Queen consort Camilla met politicians and religious leaders as well as people who'd lined the streets to greet the royal couple. Brenda and Frankie arrived at Hillsborough Castle early this morning.
[3458.00 - 3465.00] P:1719.26 E:0.094429 |  We wanted to show the King and her support and just let him know the people from Northern Ireland's 100% behind him in his new role.
[3465.00 - 3476.00] P:1682.31 E:0.072030 |  Well I hope for him to be a great monarch for as a King because he has a teacher, his mother was a teacher and has learned him.
[3477.00 - 3485.00] P:1757.95 E:0.095062 |  Ukrainian forces are continuing their counter offensive in northeastern Ukraine, having driven out Russian troops from large expanses of territory in recent days.
[3485.00 - 3490.00] P:1609.84 E:0.080027 |  Officials say more than 300 towns and villages have now been liberated.
[3490.00 - 3499.00] P:1775.67 E:0.083523 |  The family of Chris Carber, who was killed during a police operation in south London last week, say the officer who shot him should have been suspended sooner.
[3499.00 - 3509.00] P:1558.31 E:0.086794 |  The Independent Office for Police Conduct began a homicide investigation four days after the 24 year old rapper died, but Mr Carber's family say there was no urgency.
[3509.00 - 3515.00] P:1584.72 E:0.083769 |  The Met Police says the decision was made after careful consideration, including the impact on public confidence.
[3515.00 - 3527.00] P:1557.85 E:0.089674 |  And Centre Park says it will shut its five UK sites on the day of the Queen's funeral, meaning people will have to leave their lodges for 24 hours in the middle of their holiday or miss a day from the start or end of their break.
[3527.00 - 3531.00] P:1571.44 E:0.072667 |  Visitors have complained and are asked to be allowed to stay on site.
[3531.00 - 3535.00] P:1553.07 E:0.083898 |  This is BBC Radio 5 Live.
[3536.00 - 3543.00] P:1894.06 E:0.085552 |  On 5 Live this evening we're continuing very shortly with the second half commentary of Liverpool against Ajax in the Champions League.
[3543.00 - 3550.00] P:1919.77 E:0.093246 |  It's match day two and it's one all between those sides, an X45 to come in about five minutes or so.
[3550.00 - 3556.00] P:1840.16 E:0.094874 |  Earlier Tottenham lost 2-0 away in Lisbon. They conceded both goals in injury time.
[3556.00 - 3565.00] P:1857.10 E:0.086541 |  We'll hear from Antonio Conte after 10 o'clock and of course there'll be lots more reaction in the Football Daily podcast which you can download from BBC Sounds.
[3565.00 - 3572.00] P:1886.71 E:0.084324 |  Big boxing news today. Anthony Joshua has accepted Tyson Furious terms for an all British heavyweight fight in December.
[3572.00 - 3575.00] P:1896.22 E:0.076402 |  We can bring in five live boxing's Steve Bunce.
[3575.00 - 3579.00] P:1854.10 E:0.090973 |  Bunce, it's on, it's the fight everyone's been waiting for.
[3579.00 - 3585.00] P:1925.57 E:0.085153 |  Kelly, you know better than to say a fight's on until you get a first bell and the men coming out of opposite corners.
[3585.00 - 3594.00] P:1836.33 E:0.080532 |  You know what, I heard you on Drive earlier and you used the phrase several times this might be too good to be true.
[3594.00 - 3600.00] P:2001.29 E:0.071838 |  Only because two weeks ago nobody was even talking about this fight.
[3600.00 - 3607.00] P:1926.81 E:0.077904 |  Nobody was even thinking about this fight and then Tyson Furious threw it out there as an idea and Anthony Joshua said,
[3607.00 - 3612.00] P:1846.90 E:0.088441 |  OK, send me the terms. Some terms were sent over and then Furious said, I'll give you 60-40.
[3612.00 - 3616.00] P:1459.55 E:0.093277 |  So AJ said and AJ's people said OK, we'll have a little think about it.
[3616.00 - 3625.00] P:1572.92 E:0.080397 |  They've had a little think about it and it turns out that last Friday when negotiations stopped out of respect for the death of the Queen,
[3625.00 - 3633.00] P:1476.84 E:0.083001 |  during Friday, Saturday and Sunday people talked, people met, people discussed it and lo and behold this morning at about 11 o'clock,
[3634.00 - 3641.00] P:1689.45 E:0.084715 |  the group behind Anthony Joshua, that's two, five, eight management and Eddie Hearn on behalf of Matt Shrimp said,
[3641.00 - 3649.00] P:1701.46 E:0.070914 |  we've agreed terms. Frank Warren instantly replied on social media contracts basically on its way.
[3649.00 - 3655.00] P:1922.23 E:0.056660 |  So that was about 10 hours ago but as far as we know, this fight's made.
[3656.00 - 3664.00] P:1872.42 E:0.089806 |  But when you said 60-40, what do you think the terms are and could it be a fight in the UK?
[3664.00 - 3670.00] P:1999.72 E:0.083162 |  Because even if it's 60-40, they'll want 60-40 over a huge pot, won't they?
[3670.00 - 3678.00] P:1916.68 E:0.079486 |  60-40 over a huge pot. It'll all be down to pay the people's views and what other people pay to watch it in various territories around the world.
[3678.00 - 3683.00] P:1747.55 E:0.089505 |  And we are told, we are told, my gut feeling is and no one's put me, no one's told me.
[3687.00 - 3693.00] P:1812.11 E:0.092095 |  Bonsi, you're just coming in and out. Just start again, nobody's told you, what did you say?
[3693.00 - 3703.00] P:1653.91 E:0.074371 |  Nobody's told me different. People have told me that this fight will be in Wows in Cardiff where Tyson Fury was booked to fight on the 17th of December.
[3703.00 - 3708.00] P:1469.62 E:0.087952 |  That was in the book, that was going to happen. That stadium's booked, it's been brought forward to the 3rd for whatever reason
[3708.00 - 3713.00] P:1850.70 E:0.078975 |  and we're told it'll be in Cardiff underneath the roof, 80-odd thousand people.
[3713.00 - 3718.00] P:1908.39 E:0.090010 |  That's what we're hearing. It is. I'm going to use the expression again. It's too good to be true.
[3718.00 - 3723.00] P:1947.81 E:0.087144 |  But look, Anthony Joshua obviously wants to make a statement after the defeat by Usik
[3723.00 - 3728.00] P:1740.38 E:0.095713 |  but Fury was expected to face Usik in that undisputed fight in December.
[3728.00 - 3733.00] P:1722.29 E:0.074958 |  That doesn't affect this, does it? It might affect his focus.
[3733.00 - 3740.00] P:2176.04 E:0.072853 |  Well, let's put it this way, if Anthony Joshua were to beat Tyson Fury, it certainly affects Fury's challenge.
[3740.00 - 3745.00] P:1842.96 E:0.075669 |  Does the fight, he'd Usik in some massive fight next April or May? A couple of things quickly.
[3745.00 - 3752.00] P:1954.85 E:0.065648 |  No, it doesn't affect it. This is the first fight and hopefully the winner of this has a massive showdown with Usik next year.
[3753.00 - 3758.00] P:1846.87 E:0.089866 |  Thank you, Steve Bunce. Thank you very much for that. As Bunce said, possibly too good to be true
[3758.00 - 3764.00] P:1871.75 E:0.087217 |  but as things stand, it is all going forward and it looks like this fight could be on
[3764.00 - 3769.00] P:1972.40 E:0.081585 |  between Anthony Joshua and Tyson Fury, potentially in Cardiff.
[3769.00 - 3772.00] P:1867.04 E:0.085775 |  Well, keep an eye on that one and Bunce will be across everything
[3772.00 - 3776.00] P:1744.28 E:0.080074 |  and of course you can also always listen to the Five Live Boxing Podcast with Steve Bunce.
[3776.00 - 3781.00] P:1622.13 E:0.100009 |  Meanwhile, Liverpool went 1-0 up against Ajax but it wasn't quite the knock-up blow
[3781.00 - 3786.00] P:1783.80 E:0.093685 |  they hoped it might be Ajax got back into it with a really good finish from Kudos.
[3786.00 - 3791.00] P:1825.01 E:0.097919 |  It is one-all at half-time. The Ajax players just making their way out of the tunnel
[3791.00 - 3794.00] P:1648.29 E:0.097967 |  and Liverpool players waiting for them on the pitch.
[3794.00 - 3799.00] P:1762.59 E:0.084689 |  So with you for the second half at Anfield. It's Chris Sutton, Enny and Dennis.
[3799.00 - 3802.00] P:1867.47 E:0.098176 |  Thank you, Kelly. I can tell you that Liverpool haven't made any changes.
[3803.00 - 3808.00] P:1840.24 E:0.104117 |  Alison Engole, Alexander Arnold, Matip van Dijk and Simacas, Thiago Fabinho and Elliott,
[3808.00 - 3812.00] P:1861.87 E:0.091870 |  the midfield three, Salah Jota and Lewis Tias.
[3812.00 - 3817.00] P:1830.67 E:0.090170 |  All in red, second half will be playing from left to right therefore attacking the Cop.
[3817.00 - 3825.00] P:1964.90 E:0.100081 |  Ajax has lovely ovation for Lenko Passfair as he makes his way to the Cop.
[3825.00 - 3830.00] P:1950.06 E:0.095707 |  He's all in blue. Ajax in their changed strip.
[3831.00 - 3840.00] P:1909.37 E:0.094878 |  The cream shirts and the black shorts and they get us back underway playing from right to left.
[3840.00 - 3843.00] P:1746.08 E:0.089763 |  Attacking the Anfield road end with Passfair in goal.
[3843.00 - 3849.00] P:1830.96 E:0.090249 |  The back four of Alvarez almost getting caught in possession inside his own penalty area.
[3849.00 - 3852.00] P:1841.52 E:0.079569 |  Renge, Timberbasi and Blint.
[3852.00 - 3859.00] P:1837.58 E:0.081435 |  Although just looking at the way they've started the second half, Alvarez almost has dropped back there.
[3859.00 - 3864.00] P:1850.37 E:0.101303 |  They're playing the three central defenders. Here is Elliott coming forward out now towards Simacas.
[3864.00 - 3866.00] P:1952.27 E:0.107985 |  Shot takes the reflection.
[3866.00 - 3872.00] P:1934.85 E:0.102722 |  Then they've got Berghaus, Taylor, Bergwein, Kudas, the goalscorer and Tadej.
[3872.00 - 3874.00] P:1876.26 E:0.079625 |  So I don't know whether that was...
[3874.00 - 3876.00] P:1850.44 E:0.112171 |  It's one to watch, isn't it?
[3876.00 - 3878.00] P:1684.66 E:0.080956 |  It is, yeah.
[3878.00 - 3883.00] P:1748.68 E:0.098615 |  I mean, he is more than capable, the Mexican international, of either being a central defender
[3883.00 - 3885.00] P:1873.05 E:0.077843 |  or a defensive midfielder.
[3885.00 - 3891.00] P:1817.68 E:0.086314 |  Liverpool have a corner far side headed out by Kudas, played back by Lewis Diass.
[3891.00 - 3894.00] P:1857.33 E:0.098698 |  Out to Simacas level with the area left-hand side.
[3894.00 - 3901.00] P:1929.71 E:0.083752 |  Now sends in across towards the near post and it's a cushion clearance by Renge.
[3901.00 - 3909.00] P:1807.00 E:0.106743 |  And then kept in play by Lewis Diass but actually presents Bergwein, the former Tottenham player with an opportunity to scuttle his way forward.
[3909.00 - 3913.00] P:1897.61 E:0.104555 |  Kudas, who goes to ground, the referee says no penalty.
[3913.00 - 3918.00] P:1891.88 E:0.113933 |  Arthur Diass, the Portuguese referee, kept up play, superbly there, had an excellent view.
[3918.00 - 3922.00] P:1912.51 E:0.111890 |  Meanwhile Liverpool are attacking. Jota carries it to the edge of the area.
[3922.00 - 3926.00] P:1953.26 E:0.109055 |  Jota still going. Jota shoots straight into the goalkeeper.
[3926.00 - 3931.00] P:1995.09 E:0.108337 |  Chances it. One end to the other and back to the court once more.
[3931.00 - 3936.00] P:1832.11 E:0.087782 |  Absolutely, but Bergwein runs away.
[3936.00 - 3942.00] P:1781.11 E:0.101574 |  And the Liverpool back line feeds the ball to Thiago who gets away from feeds the ball to Kudas,
[3942.00 - 3948.00] P:1772.77 E:0.090634 |  who tries to win a penalty, throws himself to the floor and then the ball straight down the other end
[3948.00 - 3952.00] P:1832.60 E:0.092354 |  and Jota manoeuvres the ball brilliantly on the edge of the box.
[3952.00 - 3954.00] P:1739.96 E:0.093071 |  He shoots from 16-17 yards.
[3954.00 - 3959.00] P:1770.86 E:0.083156 |  If he disappointed with the finish, put it straight to Pazvir.
[3959.00 - 3963.00] P:1847.56 E:0.096386 |  Porto Niel Bruges too is the latest scorer in the Champions League.
[3963.00 - 3965.00] P:1793.49 E:0.084507 |  That's in Group B.
[3965.00 - 3970.00] P:1841.61 E:0.093673 |  Mylaver Kussin and Atlético Madrid still drawing, but Bruges have got a second goal,
[3970.00 - 3974.00] P:1769.59 E:0.079123 |  so they're looking to make it two wins out of two.
[3974.00 - 3979.00] P:1772.47 E:0.077499 |  Remember earlier Tottenham Hotspur were beaten 2-0.
[3979.00 - 3988.00] P:1788.86 E:0.094958 |  The way to Sporting Lisbon will actually have Tottenham's next game against Leicester City on Saturday evening.
[3988.00 - 3993.00] P:1824.79 E:0.100393 |  It's part of five-life sport with Marc Chapman on air from midday.
[3993.00 - 3998.00] P:1890.04 E:0.098796 |  Ipswich 2, Bristol Robers Niel is the latest scorer in League One.
[3998.00 - 4005.00] P:1782.09 E:0.089332 |  Ipswich, leaders of League One, unbeaten still and going very, very well.
[4005.00 - 4009.00] P:1808.84 E:0.099444 |  Here is Elliott, back to Alisson.
[4009.00 - 4013.00] P:1646.66 E:0.095798 |  Going back to Kudas throwing himself to the floor.
[4013.00 - 4017.00] P:1810.60 E:0.091979 |  What an opportunity that would have been, should have taken the shot on.
[4018.00 - 4022.00] P:1834.42 E:0.101730 |  It's a warning for Liverpool again, it's actually on the break.
[4022.00 - 4025.00] P:1965.40 E:0.113290 |  Here is Jota.
[4025.00 - 4028.00] P:1945.40 E:0.092451 |  The referee gives a free kick.
[4028.00 - 4031.00] P:1814.86 E:0.102476 |  There was a foul coming in from Alvarez.
[4031.00 - 4034.00] P:1909.02 E:0.097780 |  Thiago's taken it, he finds Salah right corner of the area.
[4034.00 - 4042.00] P:1815.67 E:0.088798 |  You're listening to BBC Radio 5 Live as Elliott will take a throw on this near side the right.
[4042.00 - 4046.00] P:1688.34 E:0.074032 |  Three and a half minutes into the second half.
[4046.00 - 4049.00] P:1725.73 E:0.087721 |  Now he leaves it for Alexander Arnold.
[4049.00 - 4054.00] P:1737.63 E:0.091020 |  Lewis Diaz right corner of the area, back to Elliott on this touch line.
[4054.00 - 4057.00] P:1876.62 E:0.100296 |  Dancing around the ball, passing it forward towards the byline towards Salah.
[4057.00 - 4060.00] P:1805.37 E:0.099296 |  There's well to keep the ball in play, Salah then loses the ball.
[4060.00 - 4066.00] P:1971.82 E:0.100256 |  Taylor the fair-haired midfielder will win a goal kick off the shins of young Harvey Elliott
[4066.00 - 4069.00] P:1882.59 E:0.077428 |  and Persvir to take it.
[4069.00 - 4075.00] P:1786.43 E:0.088107 |  You think about the traditions and the history of these two clubs in European competition.
[4075.00 - 4083.00] P:1808.83 E:0.092555 |  This is Liverpool's 27th season just in Europe's elite competition.
[4083.00 - 4091.00] P:1743.01 E:0.097144 |  And for Ajax it's their 39th season either in the European Cup or the Champions League.
[4094.00 - 4097.00] P:1607.90 E:0.081333 |  Ten times they've won it between them.
[4097.00 - 4104.00] P:1746.30 E:0.085926 |  Ajax's first success was actually in England against Panathanaeacos back in 1971.
[4104.00 - 4109.00] P:1616.34 E:0.090686 |  Bayern Munich are leading Barcelona by a goal to nil.
[4109.00 - 4114.00] P:1679.85 E:0.086958 |  Remember Inter Milan earlier beat Victoria Pilsen 2-0 in the early game.
[4114.00 - 4117.00] P:1911.14 E:0.083128 |  There's Blint, heads it back to Persvir.
[4117.00 - 4123.00] P:1798.41 E:0.080811 |  Now in Germany Bayern are leading Barser 1-0.
[4123.00 - 4126.00] P:1671.71 E:0.090680 |  It was just a temporary thing wasn't it by the way?
[4126.00 - 4131.00] P:1860.65 E:0.080648 |  Alvarazzi's continued just to sit in front of that back four.
[4131.00 - 4135.00] P:1968.91 E:0.108386 |  A loose ball and that'll be a free kick.
[4135.00 - 4138.00] P:1893.62 E:0.101359 |  That was Timber with the foul.
[4138.00 - 4140.00] P:1825.51 E:0.095737 |  It's a couple of times now isn't it?
[4140.00 - 4142.00] P:1607.50 E:0.075722 |  It is yeah. He took the words right out of my mouth.
[4142.00 - 4146.00] P:1552.84 E:0.073503 |  Very fortunate once again.
[4146.00 - 4150.00] P:1688.12 E:0.086359 |  Not to see a yellow card there.
[4150.00 - 4156.00] P:1734.81 E:0.093931 |  I've actually been disappointed with Ajax at the back with...
[4156.00 - 4161.00] P:1723.17 E:0.099647 |  Really careless that some of the passes into midfield.
[4161.00 - 4165.00] P:1565.66 E:0.092541 |  Not as slick as they normally are.
[4165.00 - 4170.00] P:1837.43 E:0.107441 |  Well this free kick at 1-1 on BBC Radio 5 Live is for Liverpool and it's midway through the Ajax half.
[4170.00 - 4172.00] P:1629.07 E:0.095064 |  They're playing from left to right.
[4172.00 - 4174.00] P:1707.90 E:0.073504 |  Two full backs stand over it.
[4174.00 - 4180.00] P:1609.13 E:0.084519 |  I'd imagine that it will be Alexander-Arnold to whip it in with his right foot.
[4180.00 - 4184.00] P:1914.21 E:0.083631 |  Quite a high line from the Ajax players to offer as much protection.
[4184.00 - 4187.00] P:1811.55 E:0.106371 |  Did it Simicast, who curls it in and Bundyke gets his head on it.
[4187.00 - 4189.00] P:1865.37 E:0.099656 |  Eight yards out couldn't keep his header down.
[4189.00 - 4192.00] P:1895.51 E:0.084407 |  Fulled everybody. Goal kick. What one?
[4192.00 - 4198.00] P:1679.69 E:0.088813 |  Yeah but as soon as you said Alexander-Arnold to take that, I knew Simicast would.
[4198.00 - 4201.00] P:1781.21 E:0.095628 |  And like wayward with the header.
[4201.00 - 4211.00] P:1848.50 E:0.086470 |  It's funny on 6-0-6 whenever you say something I know that the truth has been spoken by Robbie Savage.
[4211.00 - 4213.00] P:1766.38 E:0.090993 |  Works both ways.
[4213.00 - 4219.00] P:1784.99 E:0.087553 |  City-0 Stoke City 3 is a latest score in the championship.
[4219.00 - 4224.00] P:1634.00 E:0.077697 |  Liverpool patiently have the ball at the back with Bundyke.
[4224.00 - 4226.00] P:1860.80 E:0.097775 |  Casually stroked towards Matip.
[4226.00 - 4231.00] P:1734.66 E:0.091721 |  One of four changes made after that heavy defeat in Naples last week.
[4231.00 - 4234.00] P:1874.62 E:0.083496 |  Alexander-Arnold finds Jota.
[4234.00 - 4238.00] P:1946.23 E:0.106847 |  Forces the ball out wide to Salah. Won't keep the ball in play.
[4238.00 - 4242.00] P:1968.46 E:0.107449 |  What was it? Heaviest defeat in Europe for 56 years for Liverpool?
[4243.00 - 4248.00] P:1821.11 E:0.085421 |  The impression that a draw wouldn't be good enough for them.
[4248.00 - 4255.00] P:1747.25 E:0.100463 |  No, in truth from what I've seen of Rangers this season, Bassey's been a big loss for them.
[4255.00 - 4258.00] P:1519.62 E:0.085426 |  Defensively a re-bo.
[4258.00 - 4263.00] P:1611.35 E:0.088672 |  But you would expect Liverpool to certainly beat Rangers at Anfield.
[4263.00 - 4268.00] P:1798.19 E:0.089888 |  Rangers a different proposition at Ibox.
[4268.00 - 4272.00] P:1816.95 E:0.100552 |  Liverpool have work to do. They really need to win this.
[4272.00 - 4277.00] P:1689.87 E:0.079367 |  Bruce, you've got a third goal in the Dragow Stadium.
[4277.00 - 4280.00] P:1830.76 E:0.095741 |  Porto-Neal, Bruce 3.
[4280.00 - 4286.00] P:1745.26 E:0.087924 |  Liverpool in this second half haven't had that same fluency as they started the first half.
[4286.00 - 4289.00] P:1764.89 E:0.074990 |  It just seems to be a little bit more disjointed.
[4289.00 - 4294.00] P:1499.80 E:0.076536 |  Yep, and just not quite coming off as of that in the final third.
[4294.00 - 4297.00] P:1777.54 E:0.107505 |  That little bit of quality they need.
[4297.00 - 4302.00] P:1699.12 E:0.093760 |  Not the easiest ball from Matip to Alexander-Arnold.
[4302.00 - 4308.00] P:1616.53 E:0.081751 |  Just bounces in front of Alexander-Arnold and goes out for a throw into Ajax.
[4308.00 - 4312.00] P:1703.17 E:0.088808 |  Kudas passes the ball back to Bassey.
[4312.00 - 4319.00] P:1758.71 E:0.093131 |  Bassey decides to bring it forward and sprays the ball with his left foot out towards Wrench on the halfway line.
[4319.00 - 4321.00] P:1914.02 E:0.093253 |  Tadic's offside.
[4321.00 - 4325.00] P:1736.87 E:0.081711 |  Right in front of the assistant referee.
[4325.00 - 4329.00] P:1813.40 E:0.083109 |  It's a high line from Liverpool.
[4329.00 - 4336.00] P:1640.00 E:0.084821 |  That high line has been a problem for them this season.
[4336.00 - 4342.00] P:1686.72 E:0.103049 |  Ajax may feel that there will be opportunities in this second half. What a ball that is.
[4342.00 - 4347.00] P:1846.52 E:0.110420 |  Right the way forward towards Alexander-Arnold who's the most advanced player right-hand side of the penalty area.
[4347.00 - 4351.00] P:1935.63 E:0.105011 |  Now backheels the ball to Salah, gets a little touch, finds Elliott outside the area.
[4351.00 - 4356.00] P:1982.15 E:0.103300 |  Elliott goes with the curler off his left foot but there wasn't really much pace on the ball
[4356.00 - 4360.00] P:1885.05 E:0.095307 |  and it was a comfortable save for the goalkeeper at head height for Pasfia.
[4360.00 - 4365.00] P:1801.81 E:0.096389 |  Let's talk about the run from Alexander-Arnold and the pass from Virgil van Dijk.
[4365.00 - 4370.00] P:1835.71 E:0.100656 |  60-70 yards, Alexander-Arnold making a movement in between.
[4370.00 - 4372.00] P:1906.37 E:0.088118 |  The left-back blend.
[4372.00 - 4376.00] P:1886.66 E:0.087314 |  And Bassey, Ajax send a half.
[4378.00 - 4382.00] P:1869.91 E:0.109857 |  Lincoln City 2, Derby County nearly is the latest scorer in League 1.
[4382.00 - 4388.00] P:1753.55 E:0.090219 |  I was reading today that that's Derby's 5,000th match in the football league.
[4388.00 - 4396.00] P:1723.63 E:0.086772 |  And Lincoln at Central Bank have got a second goal as Ajax with Bassey in possession.
[4397.00 - 4402.00] P:1860.42 E:0.099802 |  Timber goes back to Bassey, edge of his area.
[4402.00 - 4405.00] P:1904.88 E:0.097165 |  Now towards the goalkeeper in front of the cop tries to beat the press.
[4405.00 - 4411.00] P:1836.10 E:0.096308 |  Alvarez is the outlet able to turn to Tadich just outside the centre-circle into the centre-circle
[4411.00 - 4415.00] P:1914.00 E:0.116075 |  and Matt quickly seized upon that. His forward ball though was blocked.
[4415.00 - 4418.00] P:1861.67 E:0.092683 |  He's actually in a very important block by Alvarez.
[4418.00 - 4424.00] P:1838.33 E:0.095114 |  And a free kick has been awarded by the Portuguese referee to Ajax.
[4424.00 - 4428.00] P:1769.42 E:0.090590 |  So 10 minutes into the second half and it's still 1-1.
[4428.00 - 4433.00] P:1769.16 E:0.082236 |  Liverpool have always got to be mindful of the threat that Ajax possess.
[4433.00 - 4437.00] P:1799.02 E:0.087999 |  We've seen that with the way that they equalised with such a clinical finish
[4437.00 - 4439.00] P:1825.18 E:0.100645 |  as now the ball is crossed towards Bergveil.
[4439.00 - 4443.00] P:1738.54 E:0.083493 |  Brought down on his chest, former Tottenham player left corner of the area,
[4443.00 - 4446.00] P:1613.29 E:0.070797 |  leaves it now for Daley Blint.
[4446.00 - 4450.00] P:1634.30 E:0.083679 |  Now to Taylor going away from the penalty area.
[4450.00 - 4453.00] P:1781.29 E:0.073080 |  Nefredominantly cream shirts.
[4453.00 - 4456.00] P:1710.65 E:0.086360 |  And now it's with Timber back towards Bassey.
[4456.00 - 4460.00] P:1761.20 E:0.095803 |  Wimbledon-Nilnorth, Hampton Town 2, a latest score in League 2.
[4460.00 - 4464.00] P:1906.64 E:0.097528 |  Ajax give the ball away. Alexander-Arnold to Lewis Diaz.
[4464.00 - 4469.00] P:1903.10 E:0.088841 |  Timber comes across and gets there first and has the ball under control.
[4472.00 - 4477.00] P:1721.74 E:0.100694 |  And there's Alvarez just done that quite often, hasn't he, in this game?
[4477.00 - 4484.00] P:1668.83 E:0.082355 |  Just dropping in alongside or in between Timber and Bassey and picking up the ball
[4484.00 - 4487.00] P:1587.81 E:0.085140 |  and trying to make the play once again.
[4487.00 - 4490.00] P:1639.75 E:0.107179 |  This after they've struggled to play through Liverpool.
[4490.00 - 4493.00] P:1614.29 E:0.094272 |  There's that long ball from Pasveert trying to hit the front man.
[4493.00 - 4495.00] P:1835.15 E:0.097622 |  That's so on this occasion.
[4495.00 - 4499.00] P:1694.46 E:0.087967 |  Ham ball from Kudos. That'll be a free kick to Liverpool.
[4499.00 - 4502.00] P:1787.97 E:0.094979 |  Let's get an update from Blackburn Watford in the championship at Ewood Park.
[4502.00 - 4503.00] P:1592.77 E:0.103560 |  Lee Blateman.
[4503.00 - 4505.00] P:1700.72 E:0.098503 |  Blackburn won Watford-Nilnorth.
[4505.00 - 4509.00] P:1750.09 E:0.097655 |  They were level. Christian Camuseli, side foot finish inside the penalty area.
[4509.00 - 4512.00] P:1737.97 E:0.094547 |  Offside flag up on this near side.
