[0.00 - 6.00] P:1606.65 E:0.255550 |  Yes, thanks Mark. Welcome to Kaliningrad. We're up here on the Baltic Sea coast.
[2290.00 - 2292.00] P:1790.83 E:0.256478 |  Free kick to England on the left.
[2292.00 - 2295.00] P:1653.76 E:0.289380 |  Alexander-Arnold drives it in, takes a deflection off that two man wall,
[2295.00 - 2299.00] P:1564.86 E:0.224909 |  which carried it wider than the near pause and behind for a corner to England.
[2299.00 - 2301.00] P:1651.40 E:0.203853 |  After all that.
[2301.00 - 2306.00] P:1652.15 E:0.266174 |  Well, see if he can put a better delivery in from the corner.
[2306.00 - 2311.00] P:1688.37 E:0.264718 |  So this is the match that will determine who will win the group
[2311.00 - 2314.00] P:1694.79 E:0.275474 |  and who qualifies second from Group G.
[2314.00 - 2317.00] P:1770.20 E:0.232028 |  The last night a group action at this World Cup.
[2317.00 - 2321.00] P:1560.57 E:0.270137 |  Alexander-Arnold with this latest corner for England from the left.
[2321.00 - 2324.00] P:1732.54 E:0.272137 |  Right footed in, Swinger, which is headed down and wide by Lofter's cheek.
[2324.00 - 2326.00] P:1644.27 E:0.210341 |  Seven yards out.
[2326.00 - 2328.00] P:1628.89 E:0.242536 |  Difficult one that George wasn't it really.
[2328.00 - 2330.00] P:1567.90 E:0.237388 |  Batuaia stayed down, wasn't he?
[2330.00 - 2332.00] P:1630.45 E:0.236193 |  But there's a good movement from him, it's a good place on it.
[2332.00 - 2334.00] P:1650.61 E:0.256855 |  He's actually got to come away from the goal.
[2334.00 - 2337.00] P:1713.46 E:0.213966 |  He's getting his shirt pulled slightly, which has ripped.
[2337.00 - 2339.00] P:1623.27 E:0.280466 |  And he heads the chub, he's pulling his shirt.
[2339.00 - 2342.00] P:1500.61 E:0.265374 |  And really trying to turn it on the target.
[2342.00 - 2344.00] P:1642.08 E:0.211531 |  That was a couple of yards away.
[2346.00 - 2348.00] P:1662.72 E:0.277499 |  So it is a goal kick for Belgium.
[2348.00 - 2351.00] P:1652.88 E:0.245480 |  England nail, Belgium nail.
[2351.00 - 2353.00] P:1500.18 E:0.216832 |  England.
[2353.00 - 2357.00] P:1675.48 E:0.245477 |  As Belgium are looking to take this goal kick out from the back.
[2357.00 - 2363.00] P:1703.82 E:0.215309 |  Lofter's cheek and Rashford and Vardy pressing very high against them.
[2363.00 - 2365.00] P:1557.92 E:0.291669 |  And now Ball Downfield from Courtois.
[2365.00 - 2366.00] P:1745.77 E:0.262034 |  Actually hit the back of Jones.
[2366.00 - 2370.00] P:1660.05 E:0.303981 |  Fellaini then was able to get at the Yanisai who hits a shot from 25 yards.
[2370.00 - 2373.00] P:1638.27 E:0.288811 |  And a Yanisai turned immediately to the referee.
[2373.00 - 2378.00] P:1653.46 E:0.237193 |  And said that clip the heels of the England man on its way wide and it is a corner.
[2378.00 - 2382.00] P:1632.81 E:0.233695 |  I'll probably say, the game so far, Fellaini's been the best player on the park.
[2382.00 - 2385.00] P:1694.07 E:0.278859 |  But he's really played well on those and he's really put himself about.
[2392.00 - 2395.00] P:1608.53 E:0.326586 |  Corner on the right hand side for Belgium.
[2397.00 - 2400.00] P:1687.24 E:0.284894 |  It is going to be taken by Torgan Azard.
[2400.00 - 2405.00] P:1677.38 E:0.247998 |  Azard out swinging corner towards the near post, Batouai heads it across the box.
[2405.00 - 2409.00] P:1691.09 E:0.259572 |  And it's picked up on the left hand side, possession by Dembele.
[2409.00 - 2413.00] P:1606.25 E:0.261135 |  Dembele, little ball in field now, Telemans is there again.
[2413.00 - 2416.00] P:1472.04 E:0.248934 |  Dembele sees in a central area.
[2416.00 - 2423.00] P:1742.41 E:0.243470 |  Torgan Azard and then a very good challenge from Danny Rose to win the ball back from Telemans.
[2423.00 - 2430.00] P:1659.61 E:0.294503 |  And Rose allows it to run back towards the edge of the penalty area where Alexander-Arnold hits a long ball down field.
[2430.00 - 2435.00] P:1786.59 E:0.256719 |  That is chested down and Vardy.
[2435.00 - 2437.00] P:1777.10 E:0.297564 |  And now Rashford in possession.
[2437.00 - 2441.00] P:1736.08 E:0.296404 |  Rashford looks for Vardy with the chip but it was just a little high for him.
[2441.00 - 2447.00] P:1743.87 E:0.256403 |  And Boyatto was able to come across with the challenge and just do enough to nudge Vardy off it.
[2447.00 - 2449.00] P:1689.05 E:0.244417 |  And so Belgium are back in possession.
[2449.00 - 2454.00] P:1618.04 E:0.253908 |  Pressure by England, the win in the ball back and Vardy there was just a little bit too high for him.
[2454.00 - 2460.00] P:1657.49 E:0.262942 |  Decent ball Rashford did well to get the space, deliver but just a hell of a tinnity, far too long.
[2460.00 - 2461.00] P:1775.83 E:0.237729 |  He did a bit more pace on it.
[2461.00 - 2465.00] P:1630.17 E:0.210927 |  England, Nill, Belgium, Nill.
[2465.00 - 2470.00] P:1479.85 E:0.223930 |  And Belgium approaching the half-way line again with Vermaulen.
[2470.00 - 2475.00] P:1489.58 E:0.272031 |  Now infield from Azard, Jones steps forward, Dembele though is there.
[2475.00 - 2479.00] P:1441.45 E:0.291152 |  Just ahead of Vardy on the half-way line Dembele up towards Fellainy.
[2479.00 - 2483.00] P:1620.10 E:0.299557 |  A little heavy from Jones from behind, just forward and left of the centre-circle.
[2483.00 - 2484.00] P:1727.76 E:0.247355 |  Free kick.
[2484.00 - 2487.00] P:1580.09 E:0.250296 |  Team mates are manning out here, Jones gets too tight.
[2487.00 - 2491.00] P:1550.24 E:0.250989 |  Fellainy has been very effective for Belgium, he's probably been their best player for me.
[2491.00 - 2495.00] P:1492.62 E:0.244673 |  He's been strong, good in the air, his movement's been good.
[2495.00 - 2497.00] P:1545.66 E:0.186009 |  Just caused problems.
[2497.00 - 2503.00] P:1640.50 E:0.219749 |  Free kick, where it's going to be taken by Telemans.
[2503.00 - 2505.00] P:1560.92 E:0.308841 |  Batuaie, central, Fellainy's there as well.
[2505.00 - 2508.00] P:1641.95 E:0.297388 |  And it goes to Fellainy who heads it across, an important header away,
[2508.00 - 2511.00] P:1762.17 E:0.276595 |  but only to the feet of Fellainy, square from him to Batuaie.
[2511.00 - 2518.00] P:1646.11 E:0.282012 |  And then Tolgan Azard, slightly off-balance, tried to curl it goal-wards and bent it well wide and well high.
[2518.00 - 2520.00] P:1702.33 E:0.241462 |  And behind for a goal kick.
[2520.00 - 2526.00] P:1691.34 E:0.258280 |  And Panama, I can tell you, are leading by a goal to Nill against Tunisia.
[2526.00 - 2532.00] P:1542.82 E:0.250859 |  So that, obviously, the target for Panama tonight to win their first match at a World Cup and a 1-0 up on Tunisia.
[2532.00 - 2537.00] P:1621.85 E:0.240992 |  That's what it is, as we said, dead rub-out with both of them heading home tomorrow or the next day or whenever.
[2537.00 - 2539.00] P:1734.56 E:0.208804 |  So, Chris, Nill Nill here.
[2539.00 - 2543.00] P:1652.41 E:0.253523 |  Yeah, Fellainy there does well again from the set piece, brings it down.
[2543.00 - 2548.00] P:1572.82 E:0.245830 |  The link to play with Batuaie, who's looked quite lively as well, as our shot high in Wade.
[2548.00 - 2551.00] P:1596.11 E:0.282009 |  So there's not a lot of report on the game, you've got to say, John, it's...
[2551.00 - 2553.00] P:1663.99 E:0.240341 |  Belgium are playing in such a slow tempo.
[2553.00 - 2559.00] P:1624.42 E:0.230644 |  England's trying up the tempo, trying to force something, make something happen, but it's not.
[2559.00 - 2564.00] P:1581.96 E:0.244756 |  Throw in to Belgium, down in front of us, Torgan Hazard, waiting to take it.
[2564.00 - 2570.00] P:1605.64 E:0.275651 |  Just in front of the England dugout, throwing, taking down the line, Batuaie into the full-back position.
[2570.00 - 2580.00] P:1613.38 E:0.268867 |  Just has a look in field, he's on his right foot, Torgan Hazard makes a run, Batuaie goes round stones, crosses, pulls it all back out of the penalty area, actually,
[2580.00 - 2583.00] P:1433.85 E:0.248925 |  but there was no one there in a red Belgian shirt.
[2583.00 - 2586.00] P:1559.97 E:0.274774 |  And Jamie Vardy was able to get the touch for England.
[2586.00 - 2593.00] P:1593.34 E:0.247637 |  The ball is just as cheap, shrugged off the ball by Dembele, and Belgium have got it back inside their own half.
[2593.00 - 2601.00] P:1544.44 E:0.257100 |  Dembele potentially a Belgian player who will be playing for places in their side in the knockout stages of the competition.
[2601.00 - 2615.00] P:1612.33 E:0.235381 |  But when we were shivering in the Kremlin in December, thinking about this game, thinking about De Bruyne and Hazard playing against the England players like Harry Kane and Kyle Walker,
[2615.00 - 2619.00] P:1555.67 E:0.250608 |  and they're all sitting on the bench watching it because of the circumstances.
[2619.00 - 2624.00] P:1588.17 E:0.251272 |  Van Marlen sends a pass forward into the full-back position, Torgan Hazard plays it across,
[2624.00 - 2631.00] P:1516.37 E:0.280665 |  T-Lemons now with the yellow number 17 on the back of his shirt, Delph was able to close him down, but Chadley in possession now on the right-hand side,
[2631.00 - 2636.00] P:1615.24 E:0.281132 |  Chadley goes for the aerial cross towards the back post, Torgan Hazard hits it across the penalty area,
[2636.00 - 2643.00] P:1733.01 E:0.240213 |  but no one was able to get a touch, and in the end it runs out of play for a goal kick near the corner.
[2643.00 - 2650.00] P:1650.36 E:0.296533 |  They're very patient about them aren't they? They don't just get it in areas and say get it in the box when they get a certain part of the pitch they go back out,
[2650.00 - 2660.00] P:1677.77 E:0.275003 |  they're waiting for an opportunity, they are dangerous, and I know they've made a lot of changes as well, but you can see if people were Hazard playing and Lukaku on form,
[2660.00 - 2662.00] P:1706.14 E:0.225227 |  you can see what a threat they do with Cully.
[2662.00 - 2672.00] P:1716.43 E:0.249887 |  The studio have asked us to confirm that we used the term shanked cross when Trent Alexander Arnold nearly scored at the cross about 10 minutes ago,
[2672.00 - 2678.00] P:1561.51 E:0.259647 |  apparently it sounded like something else, I'm not sure what it sounded like, but we have clarified that.
[2678.00 - 2684.00] P:1664.18 E:0.247513 |  Five minutes to go to half time, England nil, Belgium nil, here on BBC Five Live,
[2684.00 - 2688.00] P:1611.23 E:0.254390 |  when we'll continue to bring you all of the matches over the course of the knockout stage,
[2688.00 - 2693.00] P:1612.40 E:0.271795 |  there's only 16 matches to go after tonight, Chris Bull bouncing forward, Vardy through the middle,
[2693.00 - 2697.00] P:1679.59 E:0.238497 |  but Kourtwa was always favourite to come out and gather at, which he did.
[2698.00 - 2702.00] P:1544.99 E:0.248755 |  This is where it really hot-tops after this, isn't it, these 16 matches.
[2702.00 - 2707.00] P:1584.87 E:0.258889 |  That's what the tournament's all about, it's very cagey, the group games, you know that nobody wants to lose,
[2707.00 - 2712.00] P:1699.26 E:0.263983 |  nobody wants to go home early, these two have got the luxury that they're already through,
[2712.00 - 2717.00] P:1665.78 E:0.212287 |  but it's well being documented, well debated, who wants to finish top?
[2717.00 - 2722.00] P:1435.76 E:0.249324 |  It's a very distinct draw though, isn't it, in terms of the two sides of it,
[2722.00 - 2727.00] P:1473.80 E:0.238448 |  like they've got Spain and Russia playing one another, Croatia-Denmark, Sweden-Switzerland,
[2727.00 - 2732.00] P:1410.20 E:0.246034 |  and Colombia against either England or Belgium in one side of the draw,
[2732.00 - 2740.00] P:1600.22 E:0.244345 |  whereas the other side of the draw absolutely live it with former winners of the World Cup in Uruguay,
[2740.00 - 2745.00] P:1598.59 E:0.276033 |  he'll be playing the European champions Portugal, France playing Argentina, Brazil against Mexico,
[2745.00 - 2749.00] P:1496.03 E:0.258829 |  and then Japan against one of these two sides.
[2749.00 - 2754.00] P:1543.01 E:0.265833 |  It is very different, isn't it, very clear cut those two sides of the set.
[2754.00 - 2759.00] P:1512.32 E:0.262870 |  Whoever you get, John, if you're going to win a tournament, you know, it's any cup competition,
[2759.00 - 2763.00] P:1595.97 E:0.285356 |  you're going to get some good teams, strong teams, teams you don't really fancy sometimes,
[2763.00 - 2766.00] P:1445.61 E:0.209609 |  but they turn up and they perform.
[2766.00 - 2771.00] P:1593.04 E:0.296191 |  Roars on the left-hand side for Delph, Delph swings the ball over, headed away by Boyata,
[2771.00 - 2777.00] P:1756.36 E:0.300339 |  comes out to loft his cheek, his first touch was a little heavy, and he had space actually,
[2777.00 - 2781.00] P:1583.25 E:0.276147 |  but in the time he had that touch, Togan-Azard was all over him,
[2781.00 - 2784.00] P:1703.74 E:0.276783 |  and Togan-Azard then gives it away through the middle.
[2784.00 - 2788.00] P:1591.54 E:0.271365 |  So it's played back to Alexander-Arnold by John Stones, Alexander-Arnold,
[2788.00 - 2792.00] P:1474.45 E:0.265899 |  Dembele comes across and closes him down, and the ball runs towards the dead ball line,
[2792.00 - 2795.00] P:1643.68 E:0.260900 |  and Dembele should clear it.
[2795.00 - 2801.00] P:1582.92 E:0.284739 |  In fact, Dembele beats Alexander-Arnold, the Belgian supporters enjoyed that, they're giving it an au lait.
[2801.00 - 2806.00] P:1421.29 E:0.282004 |  I think Mar-O-Anne-Fallain, he got an au lait there as well, that doesn't happen every day.
[2806.00 - 2813.00] P:1552.92 E:0.253362 |  Well done Mar-O-Anne, and now the Marlin plays it across the back line, where Dendonka will run it away,
[2813.00 - 2816.00] P:1467.98 E:0.272025 |  and that's exactly what he does, he's over the half-way line,
[2816.00 - 2823.00] P:1468.62 E:0.233230 |  the right-sided central defender as he is in this match, Fellainy, now to Togan-Azard.
[2823.00 - 2827.00] P:1604.19 E:0.285370 |  Back towards Dembele, and Belgium have got it again inside their own half.
[2827.00 - 2832.00] P:1640.94 E:0.260381 |  So England-Nil, Belgium-Nil, if you have been at work or at play,
[2832.00 - 2836.00] P:1890.94 E:0.254865 |  and you've just got back into your car, and you haven't heard,
[2836.00 - 2841.00] P:1894.11 E:0.292654 |  both Garret Southgate and Roberto Martinez made a raft of changes for this match,
[2841.00 - 2847.00] P:1950.62 E:0.311454 |  eight for England, nine for Belgium, so these sides very different from the teams that started the first two matches.
[2847.00 - 2852.00] P:1924.83 E:0.319734 |  And now, of course, it whistles around the ground as Belgium have possession in the central third.
[2852.00 - 2856.00] P:2001.65 E:0.253392 |  Well, don't get me at this game about Nil Nillen.
[2856.00 - 2861.00] P:1771.17 E:0.292175 |  He has Yannisai on the right-hand side, though, up against Rose again, that's been the contest of the match so far.
[2861.00 - 2865.00] P:1647.17 E:0.274624 |  Nilsai beats him again, shoots infield, but it hits, Cahill bounces down,
[2865.00 - 2869.00] P:1551.83 E:0.228219 |  and England actually could be off, or Alexander-Arnold just waits a moment,
[2869.00 - 2876.00] P:1752.88 E:0.251291 |  gives it to Dyer, back to Alexander-Arnold who turns and will actually pass it back into central defence to Jones.
[2876.00 - 2879.00] P:1796.64 E:0.279113 |  And now indeed, Pickford as well.
[2879.00 - 2882.00] P:1753.75 E:0.254516 |  And England start from the back once more.
[2882.00 - 2890.00] P:1754.60 E:0.233404 |  Lovely, orangey Baltic sunshine glinting on the white and grey metalwork
[2890.00 - 2895.00] P:1754.87 E:0.261275 |  at the top of the stand, very distinct rectangular roof at both our heads
[2895.00 - 2900.00] P:1684.51 E:0.248589 |  with Alexander-Arnold down on pitch surface, rolling it infield towards Loftus-Chi.
[2900.00 - 2905.00] P:1690.82 E:0.250917 |  It's been quite strange actually to get used to going one hour back from Moscow.
[2905.00 - 2910.00] P:1762.73 E:0.260302 |  So here, we're one hour back from Moscow, but we're one hour ahead of the UK.
[2910.00 - 2912.00] P:1834.35 E:0.271480 |  Things like that easily confuse me.
[2912.00 - 2919.00] P:1726.57 E:0.247703 |  Here's Dyer, back to Alexander-Arnold, with the ball just in front of where Roberto Martinez is standing.
[2919.00 - 2925.00] P:1808.21 E:0.261058 |  And then England go back into their own half, and increase in whistles,
[2925.00 - 2934.00] P:1816.46 E:0.261293 |  which I imagine are possibly from the locals, the Russian supporters who've come here to see this much anticipated World Cup match.
[2934.00 - 2937.00] P:1795.75 E:0.248983 |  I think we've got a point, to an extent. I think the game's been flattened.
[2937.00 - 2941.00] P:1678.65 E:0.266131 |  I think we've had a couple of moments, Belgium had about two or three half decent chances,
[2941.00 - 2945.00] P:1582.26 E:0.244786 |  I suppose in England's, of course, a threat on one or two occasions.
[2945.00 - 2948.00] P:1431.39 E:0.255438 |  But basically, both teams are playing with no risk.
[2948.00 - 2953.00] P:1375.05 E:0.250912 |  Everybody thought coming here was going to be nearly the way they were talking about the game,
[2953.00 - 2955.00] P:1612.52 E:0.221044 |  and it looks like it's going to be a bit of a loss.
[2955.00 - 2957.00] P:1690.76 E:0.242482 |  Stones gives it to Loftus-Chi.
[2957.00 - 2961.00] P:1494.60 E:0.242082 |  Now Alexander-Arnold, possibly the one who's done most of further his course.
[2961.00 - 2968.00] P:1609.73 E:0.287568 |  Loftus-Chi curls the ball in, but Boyatta under pressure from Delphi's able to fall and head it away from Goal and behind for an England corner.
[2968.00 - 2972.00] P:1530.58 E:0.264880 |  So another set piece, which is, I think it's good for England in this scenario,
[2972.00 - 2977.00] P:1593.34 E:0.241941 |  to try the set pieces that at this World Cup have brought great success.
[2977.00 - 2983.00] P:1614.24 E:0.223317 |  Alexander-Arnold, who has taken all of the set pieces,
[2983.00 - 2987.00] P:1562.74 E:0.249594 |  whether corners, free kicks in the match so far.
[2989.00 - 2993.00] P:1618.05 E:0.261705 |  Here he is, Alexander-Arnold with his latest corner to the near post,
[2993.00 - 2997.00] P:1655.12 E:0.248316 |  which is cleared away by Dembele quite comfortably, the first defender.
[2997.00 - 3001.00] P:1755.16 E:0.274206 |  And as it's played forward, someone in the crowd blows a whistle.
[3001.00 - 3006.00] P:1905.73 E:0.316530 |  Now the referee is doing the whistle, there's no added time at the end of the first half, and that's it.
[3006.00 - 3008.00] P:1959.85 E:0.295326 |  Bang on, 45 minutes.
[3008.00 - 3013.00] P:1902.43 E:0.274194 |  I think to be honest, if we'd all sat here and wrote down in a suite what the score would be, it'd off-time.
[3013.00 - 3016.00] P:1791.15 E:0.225701 |  I think everybody wrote a 0-0, and that's how it's gone.
[3016.00 - 3019.00] P:1776.36 E:0.222809 |  I think there's a couple of chances, England and Belgium,
[3019.00 - 3025.00] P:1731.25 E:0.227733 |  but you can tell they're both through, and they're playing very cagey, and it's a non-event for me.
[3025.00 - 3028.00] P:1793.33 E:0.234986 |  England have had opportunities.
[3028.00 - 3031.00] P:1720.68 E:0.252797 |  K-Hill's header, I think, was the closest that England came.
[3031.00 - 3035.00] P:1805.56 E:0.267113 |  We saw the dipping shot from Thieleman's, Fellaini with the shot that was blocked,
[3035.00 - 3038.00] P:1660.93 E:0.255489 |  the one that was scrambled away off the line by K-Hill,
[3038.00 - 3042.00] P:1745.84 E:0.266236 |  and Ruben Loftus-Ciek actually with the header was the best chance for England,
[3042.00 - 3047.00] P:1773.23 E:0.224145 |  but it's panning out pretty much as the pre-match conversation went.
[3047.00 - 3052.00] P:1813.91 E:0.233453 |  It has, and yeah, what we all thought about this would be the result, and it is.
[3052.00 - 3058.00] P:1864.35 E:0.230575 |  So, half-time here in Kalingengrad, England nil, Belgium nil,
[3058.00 - 3062.00] P:1702.91 E:0.235185 |  and back in Red Square, I suspect Mark Chapman will have some questions.
[3062.00 - 3065.00] P:1833.67 E:0.187209 |  Oh, that was terrible.
[3065.00 - 3068.00] P:1687.32 E:0.239658 |  That was nearly as bad as the first half.
[3068.00 - 3071.00] P:1748.61 E:0.267673 |  Well, welcome back to Kalingengrad, everyone.
[3071.00 - 3075.00] P:1830.47 E:0.270713 |  England nil, Belgium nil, and the New Year's Day's England are making a change,
[3075.00 - 3080.00] P:1735.31 E:0.242078 |  and Harry Maguire's coming on, and John Stones is going off.
[3080.00 - 3082.00] P:1870.51 E:0.208797 |  So a change in half-time.
[3082.00 - 3085.00] P:1709.73 E:0.277566 |  We can't tell, obviously, whether that's been pre-planned.
[3085.00 - 3090.00] P:1633.37 E:0.257790 |  As I mentioned, the fact that John Stones has actually started now 11 England games in a row,
[3090.00 - 3093.00] P:1642.76 E:0.224486 |  obviously an important part of this England team,
[3093.00 - 3097.00] P:1648.18 E:0.271055 |  so I suspect that was the plan all along, and that it's not a niggle,
[3097.00 - 3099.00] P:1619.83 E:0.262131 |  but we'll find out from Garry Southgate later, Chris.
[3099.00 - 3101.00] P:1521.53 E:0.265291 |  Yeah, I think that was all lined up.
[3101.00 - 3104.00] P:1748.54 E:0.242252 |  I think John Stones is out there working game time,
[3104.00 - 3106.00] P:1771.22 E:0.205539 |  but yeah, I think that was all planned.
[3106.00 - 3109.00] P:1703.29 E:0.196468 |  Kale's gone into the middle now, and Maguire on to the left.
[3109.00 - 3113.00] P:1847.05 E:0.232535 |  So the England team now, that's the first change for either side in the match.
[3113.00 - 3121.00] P:1794.88 E:0.240762 |  England with pick-fitting goal, three central defenders are Jones, Kale and Maguire.
[3121.00 - 3125.00] P:1771.79 E:0.248976 |  Alexander-Arnold and Rose the Wing-backs, Daya, who's the captain tonight,
[3125.00 - 3130.00] P:1655.07 E:0.274591 |  with Loftus-Chick and Delphi on the side of him, and Rashford and Vardy up front.
[3130.00 - 3132.00] P:1704.98 E:0.296716 |  You've just spotted a shot of Stones on the bench.
[3132.00 - 3135.00] P:1692.66 E:0.257556 |  Yeah, he looks alright, he's just starting to dugout watching the game.
[3135.00 - 3139.00] P:1561.06 E:0.269835 |  And the Belgian side, Courtois, Dendonka, Boyata and Vermaullen,
[3139.00 - 3143.00] P:1687.45 E:0.249378 |  Chadli Dembele, Fellini and Torgan Hazard,
[3143.00 - 3147.00] P:1751.79 E:0.267693 |  and then Uri Tillerman's Adnan Yannisai and Michi Batchowai.
[3147.00 - 3150.00] P:1768.41 E:0.307125 |  So England nail, Belgium nail, if you weren't listening in the first half,
[3150.00 - 3155.00] P:1798.73 E:0.254350 |  just to remind you that this is all about who finishes first and second in this group.
[3155.00 - 3160.00] P:1656.20 E:0.242685 |  And at the moment, a draw would mean that the two teams would be level on points,
[3160.00 - 3164.00] P:1742.02 E:0.264705 |  goal difference, goal scored, the head-to-head would be the same,
[3164.00 - 3169.00] P:1685.72 E:0.238289 |  so it would come to the disciplinary record and already in this match,
[3169.00 - 3173.00] P:1773.82 E:0.246815 |  Belgium have picked up two more, so they have five, England have two.
[3173.00 - 3175.00] P:1659.00 E:0.285776 |  So it would be England finishing top of the group,
[3175.00 - 3180.00] P:1834.78 E:0.224859 |  and England would play Japan on Monday night in Rostov,
[3180.00 - 3182.00] P:1623.72 E:0.247926 |  where we had a little look earlier on,
[3182.00 - 3189.00] P:1733.56 E:0.233134 |  and the temperature tomorrow in Rostov is forecast to be 39 degrees Celsius.
[3189.00 - 3192.00] P:1666.29 E:0.246387 |  It did say it would get a little cooler by Monday.
[3192.00 - 3195.00] P:1718.23 E:0.211302 |  England nail, Belgium nail.
[3195.00 - 3199.00] P:1790.02 E:0.223105 |  You'll need to get that laundry done, Chris, by the time we get to Rostov.
[3199.00 - 3201.00] P:1829.32 E:0.276144 |  Definitely, it's 39.
[3201.00 - 3203.00] P:1863.59 E:0.199863 |  The wash is only 30.
[3207.00 - 3210.00] P:1638.44 E:0.272501 |  You were adamant, weren't you, when we went to the Launderette?
[3210.00 - 3213.00] P:1786.66 E:0.278975 |  I said 40, and you said no, 30.
[3213.00 - 3215.00] P:1776.32 E:0.256340 |  I shrank 40, don't trust it.
[3215.00 - 3219.00] P:1725.71 E:0.251893 |  Stones has got some strapping on one of his legs.
[3219.00 - 3221.00] P:1790.53 E:0.238753 |  I've just passed the nose.
[3221.00 - 3223.00] P:1776.98 E:0.285964 |  Belgium coming forward, 0-0.
[3223.00 - 3228.00] P:1726.03 E:0.206271 |  You have to see the first opportunity of the first of the second half.
[3228.00 - 3234.00] P:1683.67 E:0.260675 |  Now, Yannis Ai, he's done quite well, Adnan Yannis Ai against Rose in the match so far.
[3234.00 - 3238.00] P:1752.37 E:0.250333 |  He has Batu Ai, 30 yards from goal, plays it back to Dembele,
[3238.00 - 3245.00] P:1697.86 E:0.210374 |  and Dembele goes back into the centre circle, by Atta, to Thomas Vimalen,
[3245.00 - 3248.00] P:1778.23 E:0.216822 |  who's winning a 67th cap tonight.
[3248.00 - 3252.00] P:1755.84 E:0.253916 |  There will be so many more, we're not for all of the injuries that he's had.
[3252.00 - 3256.00] P:1791.58 E:0.263135 |  Jones plays it back to Pickford, who quickly got the ball out of his feet to his left,
[3256.00 - 3260.00] P:1738.03 E:0.259684 |  and chips it towards Danny Rose, who is beaten in the air by Yannis Ai,
[3260.00 - 3262.00] P:1616.30 E:0.262308 |  and it's out for a throw into England.
[3262.00 - 3266.00] P:1778.33 E:0.241424 |  Already on this trip, on the subject of laundry, I've lost three socks,
[3266.00 - 3269.00] P:1718.55 E:0.203680 |  which is an achievement in itself.
[3269.00 - 3272.00] P:1746.80 E:0.322720 |  England, Vadi wins it back, gives it to Rashford, who goes for a curler,
[3272.00 - 3274.00] P:1636.44 E:0.303671 |  but he didn't get the bend on it that he was after.
[3274.00 - 3280.00] P:1781.66 E:0.253754 |  We were, as Jimmy Armfield would say, right behind it, and it just didn't come back in at all.
[3280.00 - 3282.00] P:1678.81 E:0.245704 |  Yeah, he didn't wrap his foot around it, did he?
[3282.00 - 3287.00] P:1617.71 E:0.259739 |  It was the right idea, he used the defender by Atta as a target to bend the ball around,
[3287.00 - 3291.00] P:1773.26 E:0.169924 |  but no, he's hit it too...
[3291.00 - 3295.00] P:1676.15 E:0.277888 |  He's saved for no bend at all on it, so it goes for a goal kick, short one.
[3295.00 - 3300.00] P:1647.67 E:0.238198 |  England, Nell, Belgium, Nell, Belgium with the ball at the back,
[3300.00 - 3302.00] P:1758.29 E:0.265534 |  and it's being passed forward, but straight to Harry Maguire,
[3302.00 - 3306.00] P:1739.57 E:0.275707 |  who stepped forward to good effect, actually, rose now on the left-hand side.
[3306.00 - 3308.00] P:1733.97 E:0.299003 |  Rashford, he does well.
[3308.00 - 3311.00] P:1748.96 E:0.288373 |  Brilliant run into the penalty area, and then eventually the challenge came in,
[3311.00 - 3317.00] P:1763.53 E:0.216394 |  but Rashford in fact pushed Dendonka, and it's a free kick to Belgium.
[3317.00 - 3321.00] P:1746.89 E:0.238822 |  Yeah, he did it, great bit of skill to get the space to get into the box.
[3321.00 - 3324.00] P:1883.83 E:0.251898 |  He's right on the touch lane, goes past two, three defenders,
[3324.00 - 3329.00] P:1797.38 E:0.227767 |  and not as well to be fair, he gets by across the many ends and push them to the floor.
[3329.00 - 3333.00] P:1708.22 E:0.297350 |  And mentioning Jimmy Armfield, incidentally, who of course died earlier this year,
[3333.00 - 3337.00] P:1691.84 E:0.267816 |  we lost Graham Taylor last year, great colleagues of ours who've been at many tournaments,
[3337.00 - 3342.00] P:1687.20 E:0.248411 |  many World Cups with us, the fact that it's the first World Cup since then,
[3342.00 - 3347.00] P:1591.56 E:0.257209 |  I was meaning to make a mention of them, and now is a perfect opportunity to do that.
[3347.00 - 3351.00] P:1652.30 E:0.267249 |  I'm sure their families will be very much missing them at World Cup time.
[3351.00 - 3354.00] P:1822.17 E:0.285377 |  Delph is caught in possession, Tillerman's taking it on,
[3354.00 - 3357.00] P:1793.53 E:0.295751 |  Tillerman still tried to play it off, and Maguire stepped forward,
[3357.00 - 3362.00] P:1772.80 E:0.277682 |  he couldn't find Yanisai, and it was cut out by Maguire, who brings it towards the halfway line.
[3362.00 - 3365.00] P:1739.62 E:0.302889 |  Danny Rose now, Rose is running between two of the Belgians,
[3365.00 - 3371.00] P:1743.71 E:0.250477 |  and Tillerman's slid in there, having already been boot, Rose went down no free kick.
[3371.00 - 3375.00] P:1767.56 E:0.263650 |  He got on here to the box, I think he's done quite well tonight in midfielder,
[3375.00 - 3381.00] P:1742.37 E:0.247050 |  chartery up, roll Yanisai in, under hit the pass, but he works back hard to get the ball back for Beausen.
[3381.00 - 3386.00] P:1704.87 E:0.253834 |  Yeah, there's Dembelli in the centre circle, Roberto Martinez making his nine changes,
[3386.00 - 3391.00] P:1732.26 E:0.255555 |  go to Southgate eight, it's going to be brought forward by Chadley towards the edge of the box,
