[0.00 - 5.60] P:1575.80 E:0.182317 |  And it is a beautiful evening here on the Côte d'Azur.
[2785.00 - 2791.00] P:1493.90 E:0.175017 |  Well, here we are in the final minute of the first half, and to repeat what is obvious out there,
[2791.00 - 2797.00] P:1836.22 E:0.188752 |  England have two players playing the form tonight, Rooney and Sterling, nobody else.
[2797.00 - 2801.00] P:1826.67 E:0.151572 |  Iceland have a free kick, just short of the half-wayline.
[2801.00 - 2807.00] P:1743.87 E:0.180725 |  Harry Kane's done OK when he's had the ball in decent areas, there's a couple of shots that haven't been too far away,
[2807.00 - 2810.00] P:1817.71 E:0.171546 |  but again, he's had real limited service.
[2810.00 - 2815.00] P:1830.05 E:0.146921 |  So here's a free kick, which Arneson, the central defender, is going to take.
[2815.00 - 2820.00] P:1738.20 E:0.167631 |  Arneson of Malmo plays it right footy, deep towards this near side of the field,
[2820.00 - 2825.00] P:1623.34 E:0.176894 |  and Walker rises quickly in glances ahead of her to play, waiting for the fourth official.
[2825.00 - 2828.00] P:1766.33 E:0.182366 |  I don't think there is any added time, there isn't.
[2828.00 - 2833.00] P:1889.56 E:0.198848 |  And that first half, from an England perspective, was absolutely pathetic.
[2833.00 - 2838.00] P:1886.42 E:0.207990 |  I couldn't quite work out whether there was a few years or not that then turned into sort of applause,
[2838.00 - 2841.00] P:1930.65 E:0.179166 |  trying to get the team going, incredibly disappointed.
[2841.00 - 2845.00] P:1925.60 E:0.166225 |  Great start, Reem Sterling for five minutes, you thought,
[2845.00 - 2850.00] P:1868.32 E:0.173193 |  yeah, OK, he's got a little bit of confidence, he wants to make runs into the area.
[2850.00 - 2855.00] P:1790.73 E:0.159104 |  A poorly defending for the first goal, just as bad defending,
[2855.00 - 2861.00] P:1760.22 E:0.166553 |  and then a real poor mistake from Johar for the second, and England now are right up against it.
[2861.00 - 2865.00] P:1777.44 E:0.168318 |  It really hurts to say this, England won Iceland 2.
[2865.00 - 2870.00] P:1594.13 E:0.160997 |  England are 45 minutes away from an ignominious defeat.
[2870.00 - 2875.00] P:1567.89 E:0.178757 |  England's team now, Johart, Wolcott, Cahill, Smalling and Rose,
[2875.00 - 2880.00] P:1470.65 E:0.202903 |  then Wilshire with Allian Rooney, I decide, Sturridge, Sterling and Kane.
[2880.00 - 2886.00] P:1355.80 E:0.201686 |  Iceland as they started the match, Haldorsson, their goalkeeper, Saivarsson, Ragnarsigarsson,
[2886.00 - 2892.00] P:1381.34 E:0.190035 |  Arneson and Skullarsson the back four, Gudmundsson, Gunnarsson, Guilfysigarsson,
[2892.00 - 2899.00] P:1578.06 E:0.174607 |  and Birkjärn Gjarnarsson with Colben, Sigthorsson and John Daddy, Börd Varsson up front.
[2899.00 - 2904.00] P:1764.14 E:0.176077 |  England, if you've just joined us, what a night so far.
[2904.00 - 2910.00] P:1634.27 E:0.183469 |  England scoring early in the fifth minute, a Rooney penalty that was won by Raheem Sterling,
[2910.00 - 2916.00] P:1507.63 E:0.192682 |  but Iceland equalising 34 seconds later from after a long throw, Ragnarsigarsson with that one,
[2916.00 - 2922.00] P:1503.35 E:0.157555 |  and then Colben, Sigthorsson with a shot, that Johart dived to his left,
[2922.00 - 2926.00] P:1499.14 E:0.158857 |  got a hand too, but was unable to keep out of the net.
[2926.00 - 2931.00] P:1605.98 E:0.178858 |  Here is Wilshire then, straight into the action, playing it forward towards the edge of the box,
[2931.00 - 2939.00] P:1586.39 E:0.171205 |  and across comes central defender Sigthorsson and puts it out of play, throwing to England down the left.
[2939.00 - 2947.00] P:1535.47 E:0.175839 |  Don't take me home, the England supporters are singing, well that is the prospect that is facing them.
[2947.00 - 2952.00] P:1612.69 E:0.197838 |  Here's Wilshire, Kane, Rooney now, Rooney picks out Sturridge on the right corner of the box,
[2952.00 - 2957.00] P:1589.80 E:0.187742 |  Sturridge has Walker on the overlap, Sturridge still comes inside, gives it back to Rooney,
[2957.00 - 2965.00] P:1638.36 E:0.174658 |  Rooney then dinks it in, Alley back, only half headed away by Sigthorsson, comes out and is cleared away,
[2965.00 - 2972.00] P:1458.65 E:0.169636 |  and then smalling wins ahead, but that's whacked away downfield by Sigthorsson the right back.
[2972.00 - 2978.00] P:1587.99 E:0.169454 |  Flidlite's brightly on now here in Nice, and Jack Wilshire having replaced Eric Dyer,
[2978.00 - 2983.00] P:1605.63 E:0.194387 |  Rooney hitting a pass that Sturridge really had no chance, did well, did half control it,
[2983.00 - 2987.00] P:1709.09 E:0.200182 |  and then Sturridge slides in with a challenge and concedes a free kick.
[2987.00 - 2994.00] P:1660.36 E:0.197935 |  And actually, Daniel Scamina might be pulling out a yellow card for that, he does for the challenge on the left back school lesson.
[2994.00 - 2998.00] P:1709.27 E:0.189936 |  Danny Mills had to be a yellow card, Sturridge just let the ball slip away for a minute,
[2998.00 - 3005.00] P:1595.61 E:0.190658 |  and he's eagerness to try and win it back, just dived in from behind, that's always going to be a yellow card.
[3005.00 - 3011.00] P:1649.37 E:0.167137 |  England, they've got to come up with something different, you know, the difference at the moment is,
[3011.00 - 3017.00] P:1430.07 E:0.195282 |  the Icelandic defence are comfortable in what they do, they're organised, they don't panic,
[3017.00 - 3024.00] P:1677.74 E:0.154103 |  they just get on with their job, they're not phased or flustered by any England changes.
[3024.00 - 3033.00] P:1749.67 E:0.161027 |  Iceland playing at the other top, down the right for Sigthorsson, who is challenged by a Rose
[3033.00 - 3042.00] P:1733.12 E:0.154326 |  and it deflects out of play for another long throw, and here he comes, the captain, Aaron Gunnison of Cardiff City
[3042.00 - 3048.00] P:1662.91 E:0.181819 |  with his bristling Icelandic beard and takes the throw to the edge of the penalty area,
[3048.00 - 3054.00] P:1700.10 E:0.167105 |  England trying to close down Guilfee-Sigertson, Wilshire just about got there and blocked it away to the halfway line,
[3054.00 - 3059.00] P:1565.97 E:0.180490 |  but Guilfee-Sigertson totally unmarked 25 yards out, England fearing the long throw.
[3059.00 - 3063.00] P:1510.96 E:0.170809 |  Then a long pass from the back from Sigthorsson, it's only half headed away,
[3063.00 - 3069.00] P:1680.44 E:0.166125 |  headed away further by Walker and the ball bounces out of play, 10 yards inside the England half.
[3069.00 - 3080.00] P:1627.56 E:0.153726 |  So it's 2-1, the scoreline, England 1, Iceland 2, and with that scoreline, it would be France against Iceland
[3080.00 - 3085.00] P:1646.05 E:0.156162 |  in the quarter-final and England would be going home.
[3085.00 - 3090.00] P:1681.87 E:0.202649 |  Smalling, who would, in strid over the top of Smalling's head, there's a repealed for an offside decision
[3090.00 - 3095.00] P:1612.07 E:0.167463 |  which is given against Johan Gunnison on the edge of the box, so free kick to England.
[3095.00 - 3100.00] P:1498.49 E:0.162016 |  He almost started the second half, particularly convincingly, and this is the problem.
[3100.00 - 3104.00] P:1729.06 E:0.174672 |  What has Roy Hodgson said to those players at half-time?
[3104.00 - 3111.00] P:1723.39 E:0.189357 |  He must have given them clear instructions, he made a substitution, he must, he has to have given them a game plan.
[3111.00 - 3116.00] P:1686.24 E:0.166771 |  He said, right, this is what you have to go out and do, this is how I want you to start.
[3116.00 - 3122.00] P:1593.33 E:0.162122 |  So either Roy Hodgson's given them the wrong information or the players aren't doing what he's told them.
[3122.00 - 3129.00] P:1696.85 E:0.161146 |  England, playing from right to left, ruining, stretching for it, finds Rose, Rose now on the left-hand side,
[3129.00 - 3135.00] P:1679.50 E:0.190840 |  Rose making good ground down the left and then is bundled over by Johan Gunnison, and it's a free kick.
[3135.00 - 3139.00] P:1481.11 E:0.185996 |  Johan Gunnison is one of those players, almost the whole Icelandic team,
[3139.00 - 3144.00] P:1548.76 E:0.190768 |  on one yellow card away from missing the quarter-final, and it's only a free kick.
[3144.00 - 3150.00] P:1750.94 E:0.201343 |  So a chance for a set piece, the team's in the second half, attacking towards the bulk of their supporters.
[3150.00 - 3157.00] P:1671.26 E:0.196534 |  So many red and white England flags behind the goal that is being defended by Hannes Haldorsson,
[3157.00 - 3162.00] P:1692.29 E:0.185936 |  and he is lining up his two-man wall, this is from an angle on the left.
[3162.00 - 3167.00] P:1656.83 E:0.180603 |  Kane is going to take the set piece with his right foot, Kane waits for the whistle.
[3167.00 - 3173.00] P:1680.43 E:0.193832 |  Here he comes then, swirls it into the edge of the six-yard box and it is headed away, out to the far side,
[3173.00 - 3180.00] P:1684.48 E:0.176342 |  Willshaw will actually just keep it in over there, and now plays a left-footed high ball, a raking pass,
[3180.00 - 3187.00] P:1779.31 E:0.174996 |  Kane wins the header and heads it down into the six-yard box where goalkeeper Haldorsson just drops on it.
[3187.00 - 3194.00] P:1704.78 E:0.164616 |  But the difference again, when that ball was cleared, the two Icelandic centre-backs were pointing and shouting.
[3194.00 - 3200.00] P:1696.73 E:0.178166 |  Hanneson and Sigurdsson were saying, right, you get in here, you mark him, do your job, get back in,
[3200.00 - 3205.00] P:1458.33 E:0.164045 |  and when the second ball comes back in, we defend it properly. That's what England didn't do,
[3205.00 - 3208.00] P:1568.59 E:0.181840 |  and that's why as a defender you don't have to always be the greatest player,
[3208.00 - 3211.00] P:1385.38 E:0.189667 |  but you need to be a commanding and a good organiser.
[3211.00 - 3215.00] P:1557.00 E:0.162915 |  Lars Lagerbeck, the joint coach who was saying yesterday,
[3215.00 - 3221.00] P:1573.49 E:0.168514 |  the strength of this Icelandic team is the fact that they're such a strong group of friends really,
[3221.00 - 3229.00] P:1596.90 E:0.155291 |  and he said that they've played together for years and years, and you can see that spirit, which is writ large,
[3229.00 - 3234.00] P:1651.62 E:0.173648 |  and here's their star man, Guilfee Sigurdsson, who was involved in the build-up to the second Icelandic goal,
[3234.00 - 3241.00] P:1666.08 E:0.168643 |  and he's crossing now, but it's over the top of Goodmanson, and it will just run out of play for a throw into England in their own left-back position.
[3241.00 - 3249.00] P:1807.60 E:0.175257 |  2-1 to Iceland, yep, if you just switched on, 2-1 to Iceland. England are heading out unless they can produce something dramatic.
[3249.00 - 3251.00] P:1807.87 E:0.183334 |  Chris Waddle's listening back in Paris.
[3251.00 - 3254.00] P:1504.70 E:0.220827 |  Yeah, not a lot of improvement, not a lot of difference to the passing,
[3254.00 - 3261.00] P:1372.65 E:0.190600 |  the tempo's been alright really through the game, but the movement, and set pieces, really, John is just breaking it,
[3261.00 - 3263.00] P:1521.76 E:0.202284 |  but set pieces, nobody makes a ball.
[3263.00 - 3267.00] P:1628.29 E:0.205605 |  Sterling gets a fortunate bounce to the ball, Chris Sterling then hits Goodnison with his pass in field.
[3267.00 - 3275.00] P:1704.23 E:0.168294 |  It's back to Wilshire, come back for Chris in a moment, Wilshire to his right, to Rooney, Rooney now, clips the pass towards Sturridge,
[3275.00 - 3280.00] P:1744.83 E:0.197088 |  or it bounces up awkwardly and hits him on the arm, no free kick given for Han Ball, he's fortunate there.
[3280.00 - 3285.00] P:1678.66 E:0.149885 |  Sturridge and England, walker now down the right, up against Bjarne-sson,
[3285.00 - 3289.00] P:1710.98 E:0.177211 |  then back onto his left side and plays it back to Rooney behind him.
[3289.00 - 3294.00] P:1728.63 E:0.213840 |  Rooney, always keeping it away, passes it straight to Sigurdsson, and Iceland have got the ball back,
[3294.00 - 3299.00] P:1753.65 E:0.181425 |  and will look to a counter-attack here through left-back Skullersson, and then they give it away,
[3299.00 - 3302.00] P:1737.74 E:0.182365 |  and Sterling is fouled in centre-field.
[3302.00 - 3308.00] P:1648.73 E:0.173502 |  I think England are going to look to take a quick free-kick here, but Wilshire, rather cannelly,
[3308.00 - 3312.00] P:1445.48 E:0.156558 |  Syversson ran across him, so wasn't able to do that.
[3312.00 - 3317.00] P:1578.06 E:0.160636 |  England need to move the ball more quickly, that was another message that we had before the game,
[3317.00 - 3320.00] P:1610.50 E:0.175678 |  and they're simply not doing that at the start of the second half.
[3320.00 - 3325.00] P:1737.95 E:0.179099 |  Cahill, too small, and now Wilshire, deep-line position,
[3325.00 - 3331.00] P:1713.38 E:0.206406 |  Wilshire curling it through, Ali with a run, but it bounces through to go keep a hal dorsum.
[3331.00 - 3333.00] P:1713.21 E:0.222468 |  So back to Chris Waddle again.
[3333.00 - 3338.00] P:1672.96 E:0.205514 |  As you're saying, set pieces, it's strength of Iceland, every ball coming in the box they deal with quite comfortably.
[3338.00 - 3342.00] P:1492.72 E:0.225993 |  So why don't England have a bit of imagination, move the ball, try and move people around a bit,
[3342.00 - 3345.00] P:1388.03 E:0.199352 |  then put the ball in the box, they make it a bit more movement,
[3345.00 - 3349.00] P:1294.81 E:0.214106 |  they dominate and every ball goes into the box, but we just keep putting the ball in there,
[3349.00 - 3350.00] P:1629.22 E:0.161142 |  it's very easy for them.
[3350.00 - 3354.00] P:1628.76 E:0.203017 |  Equally, Chris, I'm not convinced that England will keep a clean sheet if they give away set pieces.
[3354.00 - 3358.00] P:1545.26 E:0.204619 |  If you're honest, and now Megan Graham down the left-hand side, looks to the left-back,
[3358.00 - 3362.00] P:1727.82 E:0.182338 |  Skullisen, and Skullisen, I'm not sure he was able to keep that in, he wasn't before he put it back.
[3362.00 - 3364.00] P:1715.52 E:0.153732 |  So it's a gold kick to England.
[3364.00 - 3370.00] P:1812.88 E:0.178936 |  Five-live, BBC Five-live, here in Nice, where it is 2-1 to Iceland,
[3370.00 - 3373.00] P:1617.80 E:0.162828 |  and we're already eight minutes into the second half.
[3373.00 - 3378.00] P:1629.70 E:0.181952 |  It's dark now, we can see the twinkling orange lights on the hills above the stadium.
[3378.00 - 3383.00] P:1707.01 E:0.181937 |  The quarter-finals begin on Thursday, along the court, there's Juer in Marseille,
[3383.00 - 3388.00] P:1606.01 E:0.157241 |  and with this scoreline, it'll be Iceland who are in the last aid, not England.
[3388.00 - 3393.00] P:1646.30 E:0.162186 |  Problem at the minute, John, the last two attempts, England going forward,
[3393.00 - 3399.00] P:1732.42 E:0.187321 |  and even now, players are having two, three touches every single time before they release the ball.
[3399.00 - 3403.00] P:1648.08 E:0.165522 |  And that means those Icelandic players, that buys them time,
[3403.00 - 3405.00] P:1572.90 E:0.176485 |  and they can get organised behind the ball.
[3405.00 - 3411.00] P:1689.06 E:0.171402 |  England have got to start popping it off, one and two touch, max, to move those players out of the way.
[3411.00 - 3414.00] P:1705.70 E:0.189594 |  Well, Wilshire's caught in possession, Sigurdsson tries to win a throw-in,
[3414.00 - 3419.00] P:1846.81 E:0.174286 |  and then Smalling has to come to the rescue and tackle it out of play for a throw-in.
[3419.00 - 3424.00] P:1677.30 E:0.155369 |  There's no-one in the Iceland coaching area, even though they've got two coaches, it's completely absent.
[3424.00 - 3429.00] P:1598.36 E:0.196070 |  They don't need two jobs, they know their jobs, it's working well, they're organised,
[3429.00 - 3433.00] P:1622.66 E:0.170858 |  the coach is just happy to sit back and say, look, I've told you what to do, go out and do it.
[3433.00 - 3438.00] P:1377.21 E:0.132845 |  The Icelandic supporters are having an absolute ball here.
[3438.00 - 3442.00] P:1519.86 E:0.216955 |  They're going to be heroes, these players are going to be heroes.
[3442.00 - 3443.00] P:1424.04 E:0.205881 |  They're already heroes, that means.
[3443.00 - 3444.00] P:1699.38 E:0.198286 |  Exactly, no matter what happens.
[3444.00 - 3448.00] P:1498.97 E:0.206059 |  Gunnison, with a long throw into the England penalty area, comes off ahead of Smalling,
[3448.00 - 3452.00] P:1750.93 E:0.186166 |  Sigthorsson putting them under pressure, corner to Iceland from the right,
[3452.00 - 3458.00] P:1599.50 E:0.185071 |  remember, they're very useful from set pieces, more than useful, John, they cause all sorts of problems.
[3458.00 - 3464.00] P:1537.47 E:0.193271 |  Smalling was pulling the shirt, you know, of Sigthorsson there, we've just seen the replay.
[3464.00 - 3468.00] P:1760.91 E:0.178143 |  Just Smalling, who's been pulled up for that in the past.
[3468.00 - 3470.00] P:1806.34 E:0.201303 |  That was in the penalty area.
[3470.00 - 3474.00] P:1830.29 E:0.183930 |  Here's the corner then, deep, deep corner, Gunnison going for the header,
[3474.00 - 3479.00] P:1776.15 E:0.226322 |  heads it back across the box, Sigthorsson with header, an overhead kick, it hits Johardt, who's blocked it away.
[3479.00 - 3484.00] P:1763.98 E:0.178246 |  Well, England were fortunate there, the overhead kick, that could have gone anywhere,
[3484.00 - 3489.00] P:1738.49 E:0.184098 |  either side of Johardt, and it was in the net, and it was Ragnar Sigthorsson again,
[3489.00 - 3492.00] P:1557.94 E:0.204998 |  the central defender, who very nearly scored his second goal of the game.
[3492.00 - 3495.00] P:1691.44 E:0.128873 |  Lucky, lucky England.
[3495.00 - 3501.00] P:1777.98 E:0.155922 |  The overhead kick from the centre-back goes straight at Johardt, and it hits him, rather makes sense.
[3501.00 - 3507.00] P:1741.56 E:0.185868 |  But again, there's two free headers, ball comes into the box, two players at the far post were completely unmarked,
[3507.00 - 3512.00] P:1790.10 E:0.182590 |  comes back across, Karl Walker gets out, jumped again, and it leaves another chance.
[3512.00 - 3515.00] P:1773.87 E:0.157769 |  Just got a defend properly.
[3515.00 - 3518.00] P:1714.40 E:0.192343 |  Back down to behind the goal at the other end, Ian Dennis.
[3518.00 - 3522.00] P:1718.56 E:0.208595 |  Three for the substitutes, were already celebrating in their purple bibs, they'd run off the bench,
[3522.00 - 3525.00] P:1747.31 E:0.180297 |  and then quickly had to retreat after that heart save.
[3525.00 - 3528.00] P:1724.93 E:0.171063 |  Long throw from Gunnison, here it is into the England penalty area,
[3528.00 - 3534.00] P:1668.20 E:0.146059 |  Smalling comes, get the header away, Stirling heads it further on, and Alley, his header clear,
[3534.00 - 3540.00] P:1666.62 E:0.145992 |  Gunnison wins it, Rooney, it's so frantic and congested.
[3540.00 - 3547.00] P:1673.57 E:0.158173 |  Iceland are winning 2-1, still so much time in the game to play, still 35 minutes to go.
[3547.00 - 3552.00] P:1641.37 E:0.165879 |  But the feel of the tempo of the game at the moment is almost last five minutes stuff.
[3552.00 - 3555.00] P:1623.32 E:0.169350 |  And that'll be because, John, of what happened against Favakia,
[3555.00 - 3560.00] P:1718.80 E:0.170187 |  they had all that time to create chances, make opportunities, and they didn't.
[3560.00 - 3566.00] P:1708.94 E:0.188805 |  Back heel down the line, Burt Walker isn't able to run onto it, and it's out of play for a throw in.
[3566.00 - 3570.00] P:1785.78 E:0.144079 |  And Iceland have that throw halfway inside their own half.
[3570.00 - 3576.00] P:1680.55 E:0.153673 |  Alarm bells are ringing loudly, this is not looking good for England.
[3579.00 - 3583.00] P:1480.20 E:0.187785 |  Throw in, that Skullisen is going to take.
[3583.00 - 3590.00] P:1564.83 E:0.210460 |  And then a care-heal and walk together, there's a breakdown of communications between those two,
[3590.00 - 3596.00] P:1508.26 E:0.170391 |  Kale heads in into the back of Walker, and England need a moment of magic here,
[3596.00 - 3601.00] P:1511.84 E:0.200007 |  they need a moment of inspiration that's out of keeping with what we are seeing, what we're watching.
[3601.00 - 3607.00] P:1543.46 E:0.159952 |  They haven't troubled the goalkeeper at all in this second half, they haven't created an opportunity yet.
[3607.00 - 3614.00] P:1623.89 E:0.142861 |  Dianasen plays it forward to Sig Thorsen, the ball bounces off him and out of play for a throw into England,
[3614.00 - 3616.00] P:1605.30 E:0.184558 |  level with the edge of their own penalty area.
[3617.00 - 3619.00] P:1800.42 E:0.126741 |  Walker waiting to take it.
[3619.00 - 3626.00] P:1659.94 E:0.172526 |  Has a little bit of an air of the 1990 World Cup game that Chris Waddle was involved in against Cameroon.
[3628.00 - 3632.00] P:1726.06 E:0.187090 |  Tournament novices playing against England gave him a massive shock,
[3632.00 - 3635.00] P:1743.93 E:0.162227 |  and England only got through that one in extra time.
[3636.00 - 3638.00] P:1902.67 E:0.145873 |  Here is Smollett.
[3638.00 - 3643.00] P:1800.86 E:0.172596 |  Rose hits a long pass, Kane now tries to slip it forward, Stirling on the chase,
[3643.00 - 3647.00] P:1565.69 E:0.191336 |  but Syverson plays it back to goalkeeper Halderson, who rather slices it.
[3647.00 - 3649.00] P:1378.20 E:0.192761 |  We talked about his kicking, didn't we, before the game?
[3649.00 - 3653.00] P:1822.49 E:0.157917 |  Kane does well against two Icelandic defenders,
[3653.00 - 3657.00] P:1647.63 E:0.173174 |  Rooney now, middle of the Iceland half to Sturridge on the right-hand side.
[3657.00 - 3662.00] P:1675.73 E:0.152771 |  Walker is there, Walker, but the pace has dropped the game, back to Sturridge.
[3662.00 - 3667.00] P:1801.62 E:0.165019 |  Sturridge, closed down by Sig Thorsen, Walker once more, Walker plays it in,
[3667.00 - 3671.00] P:1735.43 E:0.203736 |  but hits the first defender, Skullersen, he's able to clear the way out of play easily.
[3672.00 - 3678.00] P:1882.73 E:0.168784 |  England like mannequins in the middle of the park, all stood in the box, just watching.
[3678.00 - 3683.00] P:1754.26 E:0.195763 |  No one making any movement, no one dropping deep, and that's, you've got to move the ball quickly.
[3683.00 - 3689.00] P:1801.15 E:0.189296 |  One-two touch, side to side, backwards and forwards, move these Icelandic defenders.
[3689.00 - 3694.00] P:1724.73 E:0.162417 |  Referee Skamina just took a moment there to speak to Wayne Rooney and Guilfrey Sigertsen.
[3695.00 - 3697.00] P:1587.92 E:0.121584 |  Not sure what that was about. Throw in that.
[3697.00 - 3699.00] P:1674.60 E:0.200986 |  England are going to try a long throw from Walker.
[3699.00 - 3704.00] P:1704.12 E:0.151757 |  Cale tries to flick it on, but it's headed away by Ragnar Sigertsen.
[3704.00 - 3711.00] P:1682.55 E:0.175794 |  Now back to Wilsham, Wilsham driving, plays it square though to Rooney who clips it back out to Walker.
[3711.00 - 3713.00] P:1622.94 E:0.151420 |  He has to back-tattle and chest it down.
[3713.00 - 3718.00] P:1756.34 E:0.183231 |  Lots of white shirts in the area, Walker's delivery is very deep, almost right over the penalty area.
[3718.00 - 3723.00] P:1741.24 E:0.165036 |  Sterling though, skampers after it, Sterling has it back in possession, puts his foot on the ball.
[3723.00 - 3731.00] P:1728.88 E:0.183104 |  Sterling taking on Cy Varson, plays it into his shins, but the right back is able to recover and tap it out for a throw in next to the corner flag.
[3731.00 - 3742.00] P:1729.95 E:0.189236 |  And England are going to break a second change now with almost an hour gone, and it is Sterling who makes way and Vardi will come on to replace him.
[3742.00 - 3747.00] P:1788.05 E:0.178142 |  So it was a risk, Danny, to bring on, to start with Raheem Sterling.
[3747.00 - 3754.00] P:1752.52 E:0.190842 |  He won the early penalty, but since then he's made a little contribution and Jamie Vardi now comes on.
[3754.00 - 3758.00] P:1710.58 E:0.210265 |  And will this mean a change for England in terms of the formation I wonder?
[3758.00 - 3760.00] P:1871.31 E:0.191435 |  Yeah, he's just spoken to Deli Alley.
[3760.00 - 3766.00] P:1771.42 E:0.146399 |  Yeah, Vardi speaking to Sturridge as well, throwing is taken.
[3766.00 - 3771.00] P:1732.69 E:0.183352 |  Iceland are winning 2-1, here's Walker, two Sturridge who peels away from Skullassen.
[3771.00 - 3773.00] P:1640.12 E:0.162427 |  Just got a little touch on that though, the left back.
[3773.00 - 3777.00] P:1681.78 E:0.152519 |  Sturridge then in the full back area on his left foot, crosses deflected.
[3777.00 - 3782.00] P:1807.01 E:0.164405 |  Alley is there but hoists his shot from 12 yards high over the crossbar.
[3782.00 - 3786.00] P:1812.82 E:0.163028 |  Well, we said before the game, when chances arise, got to take them.
[3786.00 - 3797.00] P:1802.44 E:0.165031 |  It did bounce up a little bit awkwardly at a difficult height, but he does just misjudge it very, very slightly, comes off the top of his ankle rather than his foot.
[3797.00 - 3801.00] P:1547.80 E:0.182246 |  Have we got a change for England in terms of the formation?
[3801.00 - 3805.00] P:1557.60 E:0.174275 |  Rooney's actually moved to a right of centre position.
[3805.00 - 3807.00] P:1508.26 E:0.159877 |  Yeah, Alley's come out to the left-hand side, that's it.
[3807.00 - 3812.00] P:1447.32 E:0.149983 |  Whereas it's almost a 4-4-2.
[3812.00 - 3819.00] P:1504.95 E:0.176731 |  England 1, Iceland 2, Rooney, miscontrols it, so Guilty Sigurdsson wins it back from him.
[3819.00 - 3826.00] P:1703.88 E:0.165506 |  Sigurdsson trying to draw the foul, in actual fact plays the pass to Goodmanson and Danny Rose is able to come across and nip it away from Goodmanson.
[3826.00 - 3830.00] P:1663.18 E:0.139527 |  Hart put under pressure, great pressing from Goodmanson.
[3830.00 - 3840.00] P:1686.57 E:0.194783 |  Now Walker, we're in the last half hour, Walker away from Sigthorsson, Walker still going, but there is a covering challenge, fortunate for Walker that he was able to take it on.
[3840.00 - 3847.00] P:1690.11 E:0.163693 |  And then yet again another Icelandic defender, Skullsson arrives on the scene and they have it back.
[3847.00 - 3855.00] P:1740.52 E:0.182386 |  What I want to know, John, has Roy Hodgson said to the players at half-time, right, if it's not going well in the first 15 minutes, I'm bringing on Vardy and this is how I want you to play.
[3855.00 - 3862.00] P:1752.12 E:0.193341 |  Ali, very nearly found the pass through the slurrage, only half cleared, Rooney couldn't pick up the loose ball.
[3862.00 - 3867.00] P:1829.51 E:0.205603 |  Or is it like Slovakia, where he's just gone, oh let's just put more forward players on and see what happens.
[3867.00 - 3877.00] P:1719.26 E:0.212491 |  Goodmanson lifts a ball downfield, Gary Keahill is fouled by Bjarneasen, much to the anger of the Icelandic supporters.
[3877.00 - 3881.00] P:1873.82 E:0.188881 |  Breaking play though, a chance to bring in Chris Waddle.
[3882.00 - 3891.00] P:1673.56 E:0.209269 |  Yep, well John I think you're asking questions, but when they do get the ball away, they've got four or five in the box, the quality or they don't deliver or the quality is very, very poor.
[3891.00 - 3900.00] P:1526.41 E:0.181663 |  The force in this year obviously, Iceland are dropping off slightly, coming off the pace, but they still carry that massive threat on the counter attack and Indian are still not using the ball well enough.
[3900.00 - 3909.00] P:1626.76 E:0.180422 |  Five live, England one, Iceland two, tomorrow on five live, we'll bring you commentary on Andy Murray's first round match at Wimbledon, second on centre court.
[3909.00 - 3919.00] P:1691.61 E:0.177479 |  Coverage on five live at Wimbledon from 12 o'clock tomorrow, but if this scoreline stays the same, there'll be enormous fallout from it at breakfast and throughout the day.
[3919.00 - 3929.00] P:1641.52 E:0.170100 |  And indeed in 6-06 tonight with Dan Walkat, who's presenting it from Paris, along with Chris, along Paul from Welsh are into the penalty area, but it's over the top of Vardy.
[3929.00 - 3933.00] P:1717.86 E:0.186155 |  And the two central defenders there doing a job on Vardy and it bounces through to the goalkeeper.
[3933.00 - 3947.00] P:1671.22 E:0.179965 |  And this is what I'm concerned about, John. Has Roy Hodgson really said, this is what happens if I bring Jamie Vardy on, this is how we're going to play in this situation, or are they just making it up as they go along?
[3947.00 - 3954.00] P:1641.66 E:0.179521 |  That is my concern. I'd have brought on Rashford. Vardy wants to run in behind, run into the space. There is no space.
[3954.00 - 3961.00] P:1716.84 E:0.155216 |  Roy Hodgson has one substitution left. They might just have one substitution left as England manager.
[3961.00 - 3969.00] P:1662.21 E:0.163916 |  Willship plays it forward. It deflects. Kane back to Willship, but it's a bouncing ball. He loses out, but then Smalling plays it back into the centre circle.
[3969.00 - 3982.00] P:1670.07 E:0.177436 |  Iceland still lead to one. Walkat. Then back to Cahill. And Cahill. Willship once again drops deep and makes himself available.
[3982.00 - 3989.00] P:1640.31 E:0.181213 |  But Iceland just sitting in there and saying to England, come on then. What have you got? Are you going to be able to break us down?
[3989.00 - 3998.00] P:1797.29 E:0.185017 |  Willship. Willship. Curling pass. I'm not sure Rose is going to be able to reach that. He doesn't. The ball just skins away straight through behind for a goal kick.
[3998.00 - 4008.00] P:1755.70 E:0.140174 |  Well, whatever happens, and if it stays like this, Ian Dennis' first question to Roy Hodgson has to be, what was the plan in the second half?
[4008.00 - 4016.00] P:1752.83 E:0.147664 |  Because at the moment, I can't see it. There doesn't look to be any sort of change from the first half. Yes, he's made substitutions,
[4016.00 - 4028.00] P:1782.48 E:0.161939 |  but I don't see a way of playing, a way to try and break down this defence. Roy Hodgson stands all alone on the edge of the coaching area with his hand on his chin.
[4028.00 - 4037.00] P:1802.24 E:0.163810 |  He has Goodmanson. Goodmanson over hits the pass, so it's a throw in for England. Almost the first time now, we do see Hamia Halgrimson,
